login_id,account_id,timestamp,success_flag,device_id,ip_address,geo_hash,browser_fingerprint,password_reset_recent,device_seen_before,label_ato
47,12043,2025-02-21 22:50:23,1,202291,10.27.11.73,AKL,fp_89400,0,1,0
48,10555,2025-03-15 07:38:14,0,201761,10.77.247.95,AKL,fp_39482,0,1,0
49,11729,2025-02-04 23:41:55,1,200765,10.19.97.98,MEL,fp_82572,0,1,0
50,12974,2025-03-12 05:36:12,1,201935,10.228.113.38,AKL,fp_64404,0,1,0
51,11025,2025-01-26 00:24:26,1,200170,10.13.141.235,AKL,fp_30530,0,1,0
52,11518,2025-01-10 19:08:02,1,201452,10.30.164.13,DUD,fp_97324,0,0,0
53,10602,2025-01-17 04:28:14,1,202460,10.64.133.217,WLG,fp_24246,0,1,0
54,11967,2025-02-11 14:07:09,1,200179,10.171.175.215,AKL,fp_52779,0,1,0
55,11663,2025-03-22 17:46:17,1,200008,10.129.61.53,MEL,fp_11770,0,1,0
56,10438,2025-03-30 16:45:26,1,200485,10.172.154.96,DUD,fp_59678,0,1,0
57,11515,2025-03-21 15:47:28,0,202195,10.79.10.36,AKL,fp_80389,0,1,0
58,12524,2025-03-28 09:24:28,1,200164,10.187.50.210,CHC,fp_97890,0,0,0
59,11110,2025-02-12 02:17:32,1,200201,10.247.82.176,AKL,fp_13699,0,1,0
60,11302,2025-02-07 09:36:45,1,201030,10.125.5.6,AKL,fp_11130,0,1,0
61,12498,2025-02-25 13:38:40,1,200206,10.255.217.13,AKL,fp_52020,0,1,0
62,10658,2025-01-31 11:15:14,1,201920,10.84.84.184,CHC,fp_59902,0,1,0
63,10496,2025-01-13 16:46:20,1,201530,10.173.154.214,DUD,fp_45982,1,0,0
64,10516,2025-02-24 16:21:11,1,201396,10.25.51.193,WLG,fp_55338,0,1,0
65,10621,2025-02-11 14:09:44,1,200041,10.231.214.9,WLG,fp_53952,0,1,0
66,12209,2025-01-24 13:02:34,1,200781,10.70.125.39,CHC,fp_73555,0,1,0
67,11073,2025-01-28 12:31:39,1,202243,10.20.209.97,AKL,fp_29115,0,1,0
68,10388,2025-01-03 07:50:32,1,202318,10.143.179.154,AKL,fp_49448,0,1,0
69,12997,2025-02-05 18:02:26,1,202346,10.202.7.185,SYD,fp_50618,0,1,0
70,13089,2025-02-15 22:35:39,1,202450,10.83.187.62,SYD,fp_85521,0,1,0
71,11258,2025-03-24 11:35:34,1,201847,10.11.155.255,WLG,fp_33860,0,1,0
72,12874,2025-03-24 18:06:02,1,201181,10.37.190.245,AKL,fp_57568,0,1,0
73,11163,2025-01-14 07:46:16,1,201574,10.196.192.204,SYD,fp_49765,0,1,0
74,12782,2025-03-04 06:25:10,1,200504,10.238.24.55,MEL,fp_58868,0,1,0
75,11516,2025-01-01 03:09:46,1,201338,10.7.25.109,WLG,fp_15160,0,1,0
76,12435,2025-01-04 09:36:57,1,202327,10.127.32.118,CHC,fp_95210,0,1,0
77,10795,2025-03-15 13:31:36,1,200235,10.121.78.31,AKL,fp_56418,0,1,0
78,11801,2025-03-26 13:27:57,1,200860,10.183.61.234,WLG,fp_80738,0,1,0
79,12954,2025-02-03 01:28:29,1,202315,10.196.79.208,SYD,fp_31145,0,1,0
80,12384,2025-03-03 23:41:44,1,201143,10.55.92.122,AKL,fp_76630,0,1,0
81,12823,2025-02-13 10:09:20,1,200483,10.182.24.239,AKL,fp_25348,0,1,0
82,12533,2025-02-14 06:42:10,1,200115,10.104.25.82,CHC,fp_17249,0,1,0
83,11217,2025-01-23 10:53:57,0,201739,10.168.152.8,DUD,fp_92362,0,1,0
84,11541,2025-01-25 20:43:53,1,201591,10.143.205.114,WLG,fp_21629,0,1,0
85,12092,2025-01-26 00:18:31,0,201684,10.209.243.77,DUD,fp_73203,0,1,0
86,11630,2025-03-30 12:36:55,1,200676,10.140.206.195,WLG,fp_69923,0,0,0
87,10473,2025-03-29 17:15:40,1,201414,10.6.87.205,WLG,fp_89600,0,1,0
88,11280,2025-01-15 07:54:57,1,201856,10.26.87.194,WLG,fp_12242,0,1,0
89,11942,2025-01-17 16:51:14,1,201169,10.38.87.237,WLG,fp_35656,0,1,0
90,11954,2025-01-25 00:10:47,1,200875,10.238.29.55,WLG,fp_43564,0,0,0
91,12640,2025-03-11 23:03:16,1,201693,10.6.20.234,MEL,fp_66787,0,1,0
92,10577,2025-02-17 18:27:02,1,201163,10.76.247.112,SYD,fp_11977,0,1,0
93,10113,2025-03-04 15:04:43,1,200554,10.37.48.232,MEL,fp_28551,0,1,0
94,11405,2025-02-18 21:52:26,1,201079,10.223.119.210,WLG,fp_73109,0,1,0
95,13173,2025-01-10 10:25:26,1,201113,10.52.136.40,AKL,fp_11818,0,1,0
96,10766,2025-02-20 03:21:48,1,201757,10.133.166.155,AKL,fp_30066,0,1,0
97,12547,2025-01-11 05:34:06,1,201880,10.150.51.37,MEL,fp_81290,0,1,0
98,11044,2025-01-18 04:15:45,1,201639,10.195.126.6,WLG,fp_93666,0,1,0
99,12156,2025-03-19 07:39:42,1,201630,10.252.119.217,WLG,fp_92318,0,0,0
100,11789,2025-03-09 09:36:10,1,202101,10.18.204.118,SYD,fp_11905,0,1,0
101,10624,2025-02-09 17:06:00,1,200167,10.146.225.235,AKL,fp_21428,0,1,0
102,13196,2025-03-25 08:59:16,1,202470,10.206.89.151,MEL,fp_32782,0,1,0
103,10990,2025-02-16 05:26:02,1,200533,10.162.38.58,WLG,fp_48027,0,1,0
104,10161,2025-01-19 18:47:00,1,202232,10.202.130.207,DUD,fp_88065,0,1,0
105,11995,2025-02-16 15:09:56,1,200925,10.88.220.107,AKL,fp_41872,0,1,0
106,11148,2025-01-29 23:16:52,1,200777,10.109.222.5,WLG,fp_81437,0,1,0
107,11896,2025-03-25 23:41:18,1,202256,10.193.168.114,CHC,fp_94809,0,0,0
108,11083,2025-01-17 11:24:09,1,201796,10.51.34.245,WLG,fp_69597,0,0,0
109,11515,2025-01-25 07:49:34,1,201466,10.86.113.192,WLG,fp_14387,0,1,0
110,10778,2025-03-23 14:07:12,1,200502,10.17.125.28,WLG,fp_42980,0,1,0
111,11167,2025-02-15 13:48:52,1,200654,10.30.223.194,MEL,fp_83437,0,1,0
112,12654,2025-03-17 16:28:02,1,201084,10.216.173.35,AKL,fp_10872,0,1,0
113,12578,2025-02-26 13:29:41,1,200224,10.130.239.81,AKL,fp_45238,0,1,0
114,12513,2025-01-28 13:48:06,1,201530,10.34.40.167,MEL,fp_30729,0,1,0
115,11838,2025-01-05 04:33:46,1,201677,10.30.212.115,AKL,fp_26095,0,1,0
116,11769,2025-03-17 14:28:31,1,200337,10.233.239.195,SYD,fp_92884,0,1,0
117,12614,2025-03-05 08:11:54,1,201126,10.181.252.69,WLG,fp_23607,0,1,0
118,10271,2025-01-04 19:20:12,1,201619,10.175.184.230,DUD,fp_60736,0,1,0
119,11926,2025-01-08 10:05:57,1,202324,10.151.43.69,CHC,fp_82492,0,1,0
120,11078,2025-03-28 09:36:19,0,200277,10.87.170.179,DUD,fp_61623,1,1,0
121,12356,2025-03-07 20:11:32,1,201913,10.224.19.182,AKL,fp_75295,0,1,0
122,10587,2025-02-28 08:33:07,1,201126,10.13.195.220,AKL,fp_66789,0,1,0
123,12274,2025-01-03 04:53:23,1,200775,10.78.181.47,AKL,fp_50057,0,1,0
124,12360,2025-02-15 02:53:09,1,200638,10.110.237.222,WLG,fp_85128,0,1,0
125,10741,2025-02-23 09:30:29,1,201936,10.150.84.252,AKL,fp_90425,0,1,0
126,12891,2025-01-01 23:17:28,1,200371,10.104.159.14,MEL,fp_37149,0,1,0
127,10372,2025-03-28 04:18:57,1,201995,10.142.90.182,CHC,fp_24708,0,1,0
128,10947,2025-01-01 23:31:50,1,200509,10.0.144.72,SYD,fp_19740,0,1,0
129,12443,2025-03-08 10:06:39,1,200807,10.102.164.227,AKL,fp_82446,0,1,0
130,11342,2025-02-16 17:02:01,1,201593,10.113.165.19,AKL,fp_31777,0,1,0
131,12800,2025-01-29 06:36:27,1,200653,10.88.38.219,WLG,fp_43337,0,0,0
132,11549,2025-03-24 00:17:14,1,201912,10.132.25.183,SYD,fp_51487,0,1,0
133,12179,2025-01-12 13:55:42,0,201492,10.225.178.240,WLG,fp_79210,0,1,0
134,11161,2025-03-04 13:02:37,1,201417,10.183.187.252,CHC,fp_94914,0,1,0
135,12594,2025-01-02 03:16:19,1,200404,10.22.137.146,MEL,fp_28615,0,1,0
136,12508,2025-02-12 10:06:58,0,200263,10.187.183.121,CHC,fp_53297,0,1,0
137,10794,2025-03-09 22:12:00,1,202223,10.130.176.152,AKL,fp_51749,0,0,0
138,11488,2025-02-15 15:13:23,1,202385,10.207.162.21,SYD,fp_92211,0,1,0
139,12244,2025-01-29 22:54:05,1,201962,10.178.221.29,AKL,fp_99556,0,1,0
140,11050,2025-01-12 23:40:00,1,201079,10.57.92.235,WLG,fp_73731,0,1,0
141,12276,2025-02-19 08:36:01,1,201191,10.106.64.21,SYD,fp_46551,0,1,0
142,10091,2025-01-07 19:57:35,1,201053,10.47.159.141,AKL,fp_23327,0,1,0
143,12685,2025-02-23 01:57:57,1,201309,10.105.116.12,DUD,fp_42882,0,0,0
144,10894,2025-03-07 14:20:57,1,201109,10.22.220.37,SYD,fp_16800,0,0,0
145,10339,2025-03-07 14:19:41,1,202301,10.79.126.51,CHC,fp_73465,0,1,0
146,12063,2025-02-16 00:57:38,1,201305,10.149.119.189,MEL,fp_50089,0,1,0
147,11131,2025-01-03 02:51:01,1,201919,10.181.209.135,MEL,fp_70925,0,1,0
148,12638,2025-02-13 11:33:25,1,202313,10.45.218.242,WLG,fp_58755,0,1,0
149,12093,2025-01-11 10:25:09,1,200384,10.205.61.122,CHC,fp_26969,0,1,0
150,12563,2025-03-26 19:03:50,1,201679,10.130.77.175,MEL,fp_97027,0,1,0
151,11442,2025-03-27 12:53:51,1,201804,10.243.190.170,WLG,fp_95841,0,1,0
152,11628,2025-02-13 15:27:10,1,200735,10.245.105.32,SYD,fp_88438,1,1,0
153,12777,2025-03-04 10:39:57,0,202243,10.20.174.251,AKL,fp_23481,0,1,0
154,11938,2025-03-23 08:55:23,1,201363,10.14.57.173,AKL,fp_30001,0,1,0
155,10643,2025-01-09 02:19:52,1,201005,10.15.1.227,CHC,fp_41024,0,1,0
156,11148,2025-01-07 00:01:59,1,200071,10.153.27.51,AKL,fp_85622,0,1,0
157,11845,2025-03-01 22:55:56,0,200414,10.205.45.223,WLG,fp_72867,0,1,0
158,10634,2025-01-16 16:31:34,1,201523,10.193.249.208,CHC,fp_30670,0,1,0
159,11953,2025-02-11 16:49:49,1,200335,10.190.205.232,AKL,fp_32796,0,1,0
160,12071,2025-01-05 02:34:39,1,200762,10.162.255.151,AKL,fp_66413,0,1,0
161,10917,2025-02-12 19:11:36,1,202179,10.222.45.50,WLG,fp_80025,0,1,0
162,10929,2025-01-14 01:06:24,1,200683,10.45.169.231,CHC,fp_80907,0,1,0
163,10068,2025-01-12 03:28:22,1,201233,10.35.20.135,CHC,fp_94200,1,1,0
164,10869,2025-01-10 02:04:14,1,201314,10.128.154.157,WLG,fp_11714,0,1,0
165,12558,2025-03-12 15:59:34,0,200675,10.215.122.150,WLG,fp_12307,0,1,0
166,12126,2025-03-24 12:52:36,1,201660,10.124.238.119,DUD,fp_50301,0,1,0
167,11772,2025-03-25 09:27:13,1,200103,10.224.166.145,CHC,fp_13574,0,1,0
168,11236,2025-02-27 21:46:47,1,201742,10.166.99.97,SYD,fp_90472,0,1,0
169,10439,2025-01-22 04:18:11,1,200543,10.134.85.173,CHC,fp_95999,0,1,0
170,11273,2025-03-17 23:55:57,1,201981,10.152.102.134,SYD,fp_64675,0,1,0
171,11246,2025-03-17 17:33:53,1,200710,10.182.255.40,CHC,fp_54516,0,1,0
172,10921,2025-01-03 09:55:42,1,200661,10.231.127.178,DUD,fp_34485,1,1,0
173,12909,2025-01-26 16:08:21,1,202385,10.108.99.166,CHC,fp_31633,0,1,0
174,12200,2025-02-19 11:07:38,1,201149,10.104.3.5,CHC,fp_64164,0,1,0
175,12731,2025-01-14 12:09:39,1,200616,10.236.82.124,SYD,fp_62829,0,1,0
176,11177,2025-03-29 13:04:39,1,202476,10.179.244.76,AKL,fp_24160,0,1,0
177,10576,2025-01-08 12:26:43,1,202258,10.158.179.104,CHC,fp_52484,0,1,0
178,10822,2025-03-10 22:37:43,1,202299,10.161.221.138,SYD,fp_61369,0,1,0
179,11288,2025-01-24 09:26:13,0,200222,10.54.83.92,AKL,fp_57086,0,1,0
180,12255,2025-03-05 13:12:48,1,202486,10.100.118.187,WLG,fp_48092,0,1,0
181,13135,2025-01-29 03:25:43,1,202102,10.118.9.232,CHC,fp_52441,0,1,0
182,12946,2025-03-25 14:29:32,1,201466,10.149.62.151,CHC,fp_45341,0,1,0
183,10764,2025-02-17 07:35:08,1,200026,10.104.124.247,AKL,fp_47699,0,1,0
184,12461,2025-02-19 07:21:48,1,200330,10.34.65.227,MEL,fp_10170,0,1,0
185,11262,2025-01-14 21:52:26,1,201323,10.33.156.180,AKL,fp_24947,0,1,0
186,12785,2025-03-11 14:14:06,1,200525,10.180.1.186,MEL,fp_92844,1,1,0
187,11733,2025-01-18 15:07:27,1,200680,10.6.4.194,MEL,fp_31552,0,0,0
188,12735,2025-03-02 10:12:02,1,200889,10.212.85.203,MEL,fp_89986,0,1,0
189,11353,2025-01-01 23:05:11,1,202349,10.244.122.21,MEL,fp_39341,0,0,0
190,12134,2025-02-14 22:13:51,1,200634,10.121.119.169,WLG,fp_11387,0,0,0
191,10801,2025-01-24 06:14:00,1,200830,10.133.22.127,SYD,fp_64088,0,1,0
192,11597,2025-03-23 23:17:09,1,200878,10.73.121.220,AKL,fp_29453,0,1,0
193,12810,2025-02-28 11:08:45,1,201013,10.107.173.142,AKL,fp_83115,0,1,0
194,12651,2025-01-17 12:30:50,1,201255,10.228.63.22,DUD,fp_38620,0,1,0
195,11077,2025-01-06 13:29:07,1,202485,10.204.198.159,SYD,fp_42113,0,1,0
196,10709,2025-01-03 20:27:19,1,200606,10.13.39.123,CHC,fp_33418,0,1,0
197,10816,2025-01-17 14:04:56,1,200649,10.252.26.239,SYD,fp_49545,0,1,0
198,11756,2025-03-07 00:56:36,1,202067,10.233.109.63,SYD,fp_85961,0,1,0
199,10224,2025-01-16 06:01:11,1,200056,10.65.238.218,WLG,fp_50371,0,1,0
200,11281,2025-01-10 05:29:33,1,202403,10.175.71.22,WLG,fp_84913,0,1,0
201,10103,2025-01-19 19:42:14,1,201362,10.7.200.184,SYD,fp_98773,0,1,0
202,10040,2025-01-24 23:15:14,1,202238,10.130.33.57,SYD,fp_33229,0,1,0
203,11542,2025-02-02 05:10:27,1,200680,10.24.79.248,CHC,fp_44701,0,1,0
204,13142,2025-03-18 12:45:04,1,201227,10.236.203.64,AKL,fp_96167,0,1,0
205,12744,2025-01-22 03:21:27,1,200010,10.212.124.200,WLG,fp_12633,0,1,0
206,12410,2025-02-20 02:24:39,1,201753,10.106.70.18,CHC,fp_23268,0,1,0
207,12799,2025-02-14 04:08:07,1,201513,10.19.32.44,AKL,fp_92391,0,1,1
208,10197,2025-01-13 04:03:43,1,201781,10.139.178.125,DUD,fp_28147,0,1,0
209,11101,2025-02-03 19:13:38,1,202015,10.177.205.235,WLG,fp_82759,1,1,0
210,11621,2025-02-02 22:12:25,1,202054,10.131.19.186,DUD,fp_88122,0,1,0
211,10689,2025-02-12 20:52:48,1,200560,10.233.171.141,CHC,fp_27411,0,1,1
212,11268,2025-03-27 18:13:11,1,201905,10.90.160.8,WLG,fp_13335,0,1,0
213,10129,2025-03-21 01:59:36,1,200897,10.237.199.154,WLG,fp_38436,0,0,0
214,12326,2025-02-22 19:42:04,1,200313,10.214.209.87,WLG,fp_58289,0,1,0
215,10960,2025-02-08 20:29:23,0,202489,10.136.222.69,AKL,fp_42997,0,0,0
216,12762,2025-03-20 05:04:25,1,201197,10.182.111.233,SYD,fp_71422,0,1,0
217,11122,2025-03-22 13:56:42,1,200421,10.12.129.234,AKL,fp_58739,0,1,0
218,11820,2025-01-30 10:52:43,1,201516,10.219.198.32,DUD,fp_70796,0,1,0
219,11055,2025-02-07 10:59:56,0,200207,10.254.57.64,WLG,fp_10104,0,1,0
220,10100,2025-01-30 10:48:47,0,202394,10.58.86.84,WLG,fp_91344,1,1,0
221,10793,2025-03-15 12:08:27,1,202416,10.43.158.195,AKL,fp_30892,0,1,0
222,10976,2025-02-25 23:27:38,1,201835,10.167.249.138,WLG,fp_33376,0,1,0
223,11273,2025-01-07 11:24:51,1,202214,10.53.103.102,SYD,fp_27991,0,1,0
224,12510,2025-01-23 08:23:53,1,201032,10.170.88.103,CHC,fp_18636,0,1,0
225,13170,2025-03-17 03:12:06,1,200148,10.214.49.155,MEL,fp_94693,0,1,0
226,10100,2025-02-05 09:56:45,0,200944,10.2.180.31,SYD,fp_79381,0,1,0
227,13066,2025-01-29 20:05:28,0,200563,10.216.82.49,WLG,fp_57680,0,1,0
228,13013,2025-03-28 20:45:34,1,200494,10.2.26.36,AKL,fp_12201,1,1,0
229,10786,2025-03-05 03:09:27,0,200741,10.215.253.109,CHC,fp_86347,0,1,0
230,10152,2025-03-06 09:30:01,1,202205,10.220.13.173,AKL,fp_88959,0,0,0
231,12276,2025-03-30 08:36:09,1,202063,10.79.249.154,AKL,fp_85624,0,1,0
232,12504,2025-03-19 16:10:30,1,202012,10.53.42.56,WLG,fp_59464,0,1,0
233,11302,2025-01-01 10:06:48,1,201480,10.87.41.67,CHC,fp_78585,0,1,0
234,11010,2025-03-11 20:12:14,1,200925,10.40.95.9,CHC,fp_60813,0,1,0
235,10857,2025-02-04 02:07:09,1,201571,10.34.75.81,SYD,fp_74917,0,1,0
236,13006,2025-03-03 07:42:29,1,201349,10.189.141.148,DUD,fp_76095,0,0,0
237,10129,2025-03-19 07:11:05,1,202017,10.74.177.22,CHC,fp_91156,0,1,0
238,10912,2025-02-17 04:08:22,1,201537,10.239.96.27,MEL,fp_19364,0,1,0
239,11767,2025-03-11 07:28:11,1,200996,10.127.174.140,AKL,fp_99824,0,1,0
240,10821,2025-02-22 19:24:09,1,200731,10.170.199.42,CHC,fp_74962,0,1,0
241,12954,2025-03-18 16:39:12,1,200872,10.9.247.221,SYD,fp_91441,0,1,0
242,12330,2025-01-31 07:03:52,1,201715,10.58.201.123,DUD,fp_76513,0,1,0
243,10651,2025-03-31 06:20:56,1,201895,10.79.19.135,WLG,fp_89556,0,1,0
244,10427,2025-02-20 07:00:22,1,201865,10.191.84.252,CHC,fp_64863,0,1,0
245,10157,2025-03-23 00:02:15,1,201744,10.110.240.104,AKL,fp_47157,1,0,0
246,12854,2025-02-14 02:01:25,1,201972,10.91.141.118,DUD,fp_11833,0,0,0
247,10732,2025-01-09 22:03:47,1,200392,10.220.179.195,WLG,fp_77464,0,1,0
248,12023,2025-01-24 11:07:04,1,201888,10.189.197.3,SYD,fp_12114,0,1,0
249,11925,2025-02-15 02:46:26,1,200789,10.33.148.104,WLG,fp_77812,0,1,0
250,12198,2025-03-31 21:06:30,1,201817,10.199.246.24,SYD,fp_17115,0,1,0
251,10493,2025-03-31 08:42:39,1,200664,10.40.57.87,CHC,fp_13812,0,1,0
252,11070,2025-02-11 17:03:42,1,200169,10.22.107.208,MEL,fp_13732,0,1,0
253,11970,2025-02-09 23:41:55,1,200488,10.4.255.30,SYD,fp_36838,0,1,0
254,12347,2025-01-12 12:43:20,1,201638,10.71.88.69,CHC,fp_42424,0,1,0
255,12441,2025-03-22 15:25:22,1,201527,10.150.142.42,MEL,fp_93018,0,1,0
256,12501,2025-03-27 00:39:47,1,200068,10.149.213.51,SYD,fp_15178,0,1,0
257,11354,2025-02-16 05:31:31,1,201086,10.176.152.233,SYD,fp_96676,0,0,0
258,10979,2025-02-23 11:45:00,1,201590,10.118.249.115,AKL,fp_86107,0,1,0
259,11596,2025-03-07 08:54:09,1,201114,10.14.228.211,WLG,fp_67549,0,1,0
260,13021,2025-03-08 23:04:54,1,200622,10.253.137.233,AKL,fp_44581,0,1,0
261,12559,2025-03-09 10:23:55,1,201891,10.113.204.69,CHC,fp_63693,1,1,0
262,11118,2025-03-29 06:40:45,1,200506,10.94.145.66,CHC,fp_62568,0,1,0
263,12148,2025-03-06 11:33:27,1,202105,10.185.124.157,MEL,fp_19237,1,1,0
264,11168,2025-01-18 20:15:44,1,201879,10.154.249.201,AKL,fp_74472,0,1,0
265,10092,2025-01-17 05:05:18,1,201562,10.16.111.71,AKL,fp_29056,0,1,0
266,10933,2025-02-27 21:31:00,1,200056,10.13.157.200,SYD,fp_21000,0,1,0
267,11461,2025-01-04 05:30:51,0,200657,10.37.153.222,AKL,fp_70717,0,1,0
268,11412,2025-02-12 19:49:57,1,201956,10.205.150.226,CHC,fp_42682,0,1,0
269,12466,2025-01-10 00:13:13,1,201440,10.111.127.119,DUD,fp_90833,0,1,0
270,12911,2025-03-19 04:30:40,1,201699,10.118.105.254,SYD,fp_90862,0,0,0
271,13171,2025-01-19 13:36:58,1,200601,10.177.102.210,AKL,fp_63779,0,1,0
272,12892,2025-01-13 02:31:59,1,201987,10.101.218.44,MEL,fp_39013,0,1,0
273,13182,2025-03-01 03:56:04,1,201329,10.107.208.155,SYD,fp_26059,0,1,0
274,12915,2025-03-19 21:55:23,1,200103,10.137.230.51,MEL,fp_55747,0,1,0
275,10340,2025-03-14 14:04:42,1,202216,10.27.139.248,MEL,fp_92285,0,1,0
276,12168,2025-02-25 14:22:36,0,200575,10.72.120.44,CHC,fp_87653,0,1,0
277,11085,2025-02-08 01:43:01,1,200088,10.82.123.148,WLG,fp_21454,0,1,0
278,10074,2025-03-24 23:58:41,1,201758,10.21.251.112,MEL,fp_61115,0,1,0
279,13152,2025-03-07 14:13:58,1,201236,10.210.232.3,WLG,fp_45296,0,1,0
280,12632,2025-03-12 21:14:13,1,201918,10.121.246.111,AKL,fp_78107,0,1,0
281,10853,2025-02-18 09:32:31,1,202247,10.62.57.18,CHC,fp_66078,0,1,0
282,10477,2025-03-25 18:06:46,0,202251,10.74.65.184,AKL,fp_51436,0,1,0
283,11827,2025-01-08 00:14:42,1,202192,10.39.59.95,DUD,fp_14223,0,1,0
284,12105,2025-03-24 02:10:02,0,200131,10.249.177.233,AKL,fp_50434,0,1,0
285,11963,2025-01-30 07:29:38,1,201778,10.49.239.16,AKL,fp_42867,0,1,0
286,12945,2025-01-21 14:27:48,1,200583,10.89.200.103,WLG,fp_61252,0,1,0
287,10895,2025-01-16 16:51:13,1,201108,10.198.39.26,MEL,fp_52715,0,1,0
288,10324,2025-02-09 04:03:56,1,201848,10.254.90.179,CHC,fp_73362,0,1,0
289,12177,2025-02-28 17:16:07,1,201023,10.167.52.143,AKL,fp_79210,0,0,0
290,12373,2025-02-07 08:13:58,1,202315,10.211.107.36,CHC,fp_34184,0,1,0
291,12783,2025-01-16 23:55:52,1,200017,10.189.34.111,MEL,fp_47803,0,1,0
292,10412,2025-02-25 21:06:18,1,201697,10.250.148.241,AKL,fp_29680,0,1,0
293,12249,2025-02-18 04:59:01,1,202188,10.25.185.196,DUD,fp_40529,0,0,0
294,12335,2025-02-23 05:25:30,1,201631,10.15.105.115,SYD,fp_10747,0,0,0
295,12017,2025-01-16 08:30:38,1,201056,10.238.137.243,WLG,fp_94234,0,1,0
