device_id,first_seen,last_seen,num_linked_accounts,risk_score_external
200265,2024-06-13,2025-09-17,1,0.0759
200266,2024-11-23,2025-06-19,1,0.5509
200267,2024-11-10,2025-07-15,1,0.074
200268,2024-01-20,2025-10-31,2,0.4295
200269,2024-10-17,2025-09-14,2,0.3068
200270,2024-01-11,2025-09-27,1,0.3286
200271,2024-09-17,2025-08-04,1,0.084
200272,2024-05-03,2025-10-25,1,0.127
200273,2024-07-11,2025-09-14,1,0.0731
200274,2024-10-12,2025-06-15,1,0.1924
200275,2024-03-26,2025-10-09,1,0.1072
200276,2024-02-18,2025-07-22,1,0.0466
200277,2024-07-26,2025-10-30,1,0.072
200278,2024-11-01,2025-09-23,1,0.1381
200279,2024-02-12,2025-07-06,3,0.0811
200280,2024-05-21,2025-06-06,1,0.3639
200281,2024-07-14,2025-06-16,1,0.3846
200282,2024-03-23,2025-07-15,1,0.1422
200283,2024-11-06,2025-06-22,1,0.1462
200284,2024-08-06,2025-09-27,1,0.2597
200285,2024-07-06,2025-06-30,1,0.4447
200286,2024-02-20,2025-08-20,1,0.2163
200287,2024-01-25,2025-07-29,1,0.0934
200288,2024-03-01,2025-09-27,1,0.0917
200289,2024-01-12,2025-06-06,1,0.532
200290,2024-07-14,2025-08-12,1,0.0844
200291,2024-11-10,2025-10-28,1,0.0637
200292,2024-10-03,2025-07-15,1,0.4235
200293,2024-03-22,2025-10-31,3,0.1131
200294,2024-03-12,2025-07-01,1,0.2328
200295,2024-07-10,2025-10-07,1,0.2731
200296,2024-10-10,2025-07-21,1,0.0466
200297,2024-10-10,2025-08-04,2,0.1123
200298,2024-07-09,2025-09-02,1,0.0565
200299,2024-04-02,2025-10-06,1,0.0566
200300,2024-06-25,2025-09-03,1,0.0741
200301,2024-09-26,2025-09-12,1,0.0325
200302,2024-11-17,2025-07-23,2,0.4685
200303,2024-01-28,2025-09-28,1,0.1906
200304,2024-10-09,2025-06-13,1,0.2969
200305,2024-09-30,2025-06-16,1,0.1709
200306,2024-03-18,2025-06-29,1,0.4171
200307,2024-01-24,2025-11-05,1,0.0119
200308,2024-04-22,2025-09-19,2,0.0168
200309,2024-04-11,2025-08-02,1,0.1861
200310,2024-02-11,2025-09-21,1,0.1436
200311,2024-04-03,2025-07-19,2,0.2725
200312,2024-03-12,2025-10-10,1,0.141
200313,2024-11-21,2025-08-10,1,0.1959
200314,2024-02-01,2025-09-20,1,0.1753
200315,2024-07-14,2025-07-15,2,0.1662
200316,2024-04-29,2025-06-07,1,0.0186
200317,2024-11-03,2025-11-26,1,0.2933
200318,2024-06-22,2025-09-26,1,0.2814
200319,2024-07-31,2025-09-25,2,0.0897
200320,2024-05-24,2025-09-17,2,0.2012
200321,2024-10-21,2025-11-09,1,0.0532
200322,2024-08-31,2025-06-04,1,0.1177
200323,2024-07-20,2025-11-19,1,0.2293
200324,2024-05-24,2025-08-22,1,0.2947
200325,2024-06-13,2025-09-13,1,0.5024
200326,2024-04-02,2025-11-16,1,0.2212
200327,2024-08-28,2025-10-23,1,0.0938
200328,2024-04-17,2025-08-03,2,0.1363
200329,2024-04-14,2025-11-10,1,0.19
200330,2024-06-19,2025-06-15,2,0.1017
200331,2024-12-01,2025-06-28,1,0.1526
200332,2024-06-09,2025-07-11,1,0.0166
200333,2024-11-27,2025-07-19,1,0.0238
200334,2024-07-11,2025-09-30,3,0.1392
200335,2024-01-27,2025-08-12,1,0.0663
200336,2024-08-01,2025-11-01,1,0.2958
200337,2024-11-30,2025-09-21,1,0.1583
200338,2024-11-17,2025-09-17,5,0.229
200339,2024-03-07,2025-10-17,1,0.1032
200340,2024-04-07,2025-08-13,1,0.1729
200341,2024-09-05,2025-08-02,1,0.3051
200342,2024-06-08,2025-06-20,2,0.2409
200343,2024-10-27,2025-10-30,2,0.3904
200344,2024-07-08,2025-07-12,1,0.0519
200345,2024-03-29,2025-09-26,1,0.4847
200346,2024-05-01,2025-10-21,1,0.0734
200347,2024-02-11,2025-08-06,1,0.0045
200348,2024-04-14,2025-06-30,1,0.026
200349,2024-10-03,2025-10-01,2,0.1476
200350,2024-03-22,2025-07-29,1,0.6027
200351,2024-06-10,2025-11-01,1,0.2618
200352,2024-03-06,2025-08-20,1,0.1352
200353,2024-06-26,2025-07-31,1,0.0292
200354,2024-12-18,2025-10-09,2,0.204
200355,2024-10-05,2025-08-09,1,0.1186
200356,2024-10-05,2025-10-22,1,0.0348
200357,2024-04-02,2025-10-03,1,0.1019
200358,2024-04-22,2025-11-07,1,0.323
200359,2024-02-05,2025-08-17,2,0.4985
200360,2024-12-02,2025-06-16,2,0.3217
200361,2024-12-15,2025-07-02,1,0.03
200362,2024-05-03,2025-06-01,1,0.4153
200363,2024-09-12,2025-11-01,1,0.064
200364,2024-03-18,2025-07-14,1,0.5147
200365,2024-08-26,2025-07-07,1,0.1861
200366,2024-02-04,2025-09-18,1,0.0216
200367,2024-05-01,2025-07-15,2,0.2897
200368,2024-05-23,2025-11-24,1,0.0435
200369,2024-12-29,2025-11-04,2,0.053
200370,2024-06-19,2025-08-21,1,0.0615
200371,2024-03-22,2025-09-24,1,0.1932
200372,2024-01-18,2025-08-09,1,0.0276
200373,2024-03-06,2025-08-17,1,0.0398
200374,2024-03-29,2025-08-26,1,0.2331
200375,2024-04-26,2025-08-08,1,0.1976
200376,2024-02-19,2025-08-18,2,0.3963
200377,2024-09-26,2025-07-03,3,0.1051
200378,2024-05-21,2025-09-26,1,0.3661
200379,2024-03-27,2025-06-13,1,0.5342
200380,2024-07-10,2025-11-11,1,0.1147
200381,2024-04-24,2025-11-11,3,0.3259
200382,2024-09-06,2025-07-08,3,0.0837
200383,2024-07-12,2025-06-09,3,0.0833
200384,2024-12-06,2025-08-26,1,0.4741
200385,2024-08-25,2025-06-12,4,0.0066
200386,2024-05-13,2025-08-12,1,0.0226
200387,2024-02-24,2025-10-14,1,0.0582
200388,2024-02-07,2025-07-26,1,0.2002
200389,2024-08-26,2025-11-08,1,0.3755
200390,2024-01-13,2025-06-03,2,0.004
200391,2024-05-19,2025-10-06,1,0.061
200392,2024-01-08,2025-08-30,2,0.2457
200393,2024-05-06,2025-07-14,1,0.0522
200394,2024-11-18,2025-08-17,1,0.0448
200395,2024-01-29,2025-07-19,2,0.2358
200396,2024-12-21,2025-09-20,1,0.2413
200397,2024-12-21,2025-11-21,1,0.1535
200398,2024-11-11,2025-08-30,1,0.1264
200399,2024-09-09,2025-10-05,2,0.3022
200400,2024-03-06,2025-09-19,3,0.2614
200401,2024-02-06,2025-10-28,2,0.3188
200402,2024-12-01,2025-09-10,1,0.3792
200403,2024-05-13,2025-08-20,2,0.227
200404,2024-06-13,2025-06-22,1,0.184
200405,2024-01-30,2025-10-18,1,0.2147
200406,2024-01-22,2025-11-09,1,0.0686
200407,2024-07-16,2025-11-24,3,0.3224
200408,2024-05-28,2025-10-10,1,0.3998
200409,2024-09-12,2025-08-04,4,0.0621
200410,2024-10-31,2025-10-05,2,0.0851
200411,2024-01-21,2025-07-28,1,0.1832
200412,2024-12-20,2025-11-09,1,0.1844
200413,2024-12-02,2025-06-08,1,0.081
200414,2024-07-28,2025-11-09,1,0.5279
200415,2024-05-16,2025-10-11,1,0.4847
200416,2024-03-01,2025-11-08,2,0.0628
200417,2024-03-26,2025-07-14,1,0.2842
200418,2024-09-12,2025-08-31,2,0.3105
200419,2024-02-17,2025-07-16,1,0.2614
200420,2024-12-18,2025-10-06,2,0.0702
200421,2024-02-23,2025-09-22,2,0.3739
200422,2024-10-02,2025-10-03,1,0.3115
200423,2024-11-06,2025-10-11,1,0.0447
200424,2024-04-17,2025-06-09,5,0.0777
200425,2024-06-24,2025-08-13,2,0.1406
200426,2024-07-29,2025-07-16,2,0.275
200427,2024-10-18,2025-11-18,1,0.0575
200428,2024-01-19,2025-09-04,2,0.0198
200429,2024-03-23,2025-06-30,1,0.0758
200430,2024-02-24,2025-08-10,1,0.4324
200431,2024-04-26,2025-09-03,1,0.0847
200432,2024-09-02,2025-07-29,1,0.1087
200433,2024-05-30,2025-09-20,1,0.1278
200434,2024-06-28,2025-10-17,1,0.055
200435,2024-06-14,2025-09-20,1,0.4723
200436,2024-01-02,2025-09-13,1,0.4579
200437,2024-02-05,2025-09-27,1,0.0304
200438,2024-03-23,2025-07-22,1,0.0302
200439,2024-01-17,2025-09-23,1,0.0018
200440,2024-10-27,2025-06-10,5,0.1297
200441,2024-12-29,2025-10-21,1,0.2527
200442,2024-06-25,2025-08-08,1,0.2419
200443,2024-08-31,2025-10-25,4,0.5272
200444,2024-01-21,2025-07-16,3,0.4519
200445,2024-01-20,2025-11-23,1,0.2066
200446,2024-08-08,2025-09-02,1,0.1025
200447,2024-10-08,2025-11-17,1,0.154
200448,2024-12-05,2025-07-23,1,0.0759
200449,2024-05-11,2025-09-02,2,0.0774
200450,2024-06-01,2025-10-07,4,0.2341
200451,2024-10-17,2025-10-06,1,0.2651
200452,2024-02-21,2025-07-16,1,0.1185
200453,2024-12-12,2025-08-12,2,0.2792
200454,2024-04-18,2025-07-12,2,0.0301
200455,2024-01-10,2025-09-26,1,0.1097
200456,2024-10-15,2025-08-14,1,0.1265
200457,2024-12-17,2025-06-02,1,0.0985
200458,2024-06-24,2025-07-23,1,0.0707
200459,2024-03-01,2025-08-06,1,0.1767
200460,2024-02-25,2025-09-09,1,0.2188
200461,2024-04-18,2025-11-12,1,0.19
200462,2024-07-13,2025-11-25,1,0.3438
200463,2024-08-16,2025-09-30,1,0.0775
200464,2024-09-11,2025-11-10,1,0.3371
200465,2024-09-18,2025-06-04,1,0.2165
200466,2024-03-28,2025-11-02,1,0.0451
200467,2024-03-03,2025-09-03,4,0.2897
200468,2024-12-13,2025-08-07,2,0.3783
200469,2024-02-19,2025-08-05,1,0.1036
200470,2024-07-05,2025-08-02,1,0.321
200471,2024-04-14,2025-10-24,1,0.3232
200472,2024-09-23,2025-08-22,1,0.3104
200473,2024-04-28,2025-06-21,1,0.3754
200474,2024-02-06,2025-11-10,3,0.3186
200475,2024-04-26,2025-09-17,1,0.2548
200476,2024-02-06,2025-08-10,2,0.526
200477,2024-03-03,2025-10-07,1,0.5207
200478,2024-06-21,2025-08-03,1,0.4143
200479,2024-12-20,2025-09-16,2,0.2264
200480,2024-03-15,2025-06-02,1,0.4751
200481,2024-10-18,2025-07-20,1,0.035
200482,2024-07-08,2025-08-01,2,0.0561
200483,2024-12-23,2025-10-21,1,0.1126
200484,2024-07-08,2025-10-14,1,0.0425
200485,2024-02-07,2025-10-21,2,0.1275
200486,2024-05-29,2025-08-26,1,0.2531
200487,2024-01-28,2025-08-04,3,0.2037
200488,2024-03-22,2025-09-04,1,0.3541
200489,2024-07-14,2025-07-19,1,0.1333
200490,2024-11-24,2025-09-04,1,0.1964
200491,2024-08-12,2025-09-28,1,0.5103
200492,2024-05-13,2025-11-22,4,0.1889
200493,2024-08-19,2025-08-06,1,0.0472
200494,2024-03-30,2025-06-21,1,0.4915
200495,2024-02-04,2025-08-02,1,0.2138
200496,2024-09-24,2025-10-27,1,0.0353
200497,2024-11-03,2025-08-21,1,0.1527
200498,2024-08-11,2025-08-14,1,0.0352
200499,2024-06-27,2025-08-22,1,0.0121
200500,2024-06-16,2025-07-16,1,0.1915
200501,2024-05-14,2025-10-28,4,0.0713
200502,2024-12-20,2025-09-29,1,0.4579
200503,2024-07-03,2025-11-19,2,0.1931
200504,2024-11-14,2025-06-18,1,0.1065
200505,2024-01-15,2025-10-07,1,0.3711
200506,2024-05-08,2025-06-15,1,0.0275
200507,2024-03-19,2025-06-16,1,0.1177
200508,2024-02-12,2025-10-31,2,0.2943
200509,2024-12-30,2025-07-31,2,0.2208
200510,2024-01-19,2025-07-27,1,0.4421
200511,2024-07-20,2025-07-05,2,0.4071
200512,2024-03-20,2025-06-20,1,0.0456
200513,2024-01-29,2025-09-28,1,0.0764
200514,2024-12-24,2025-09-03,1,0.1194
200515,2024-04-16,2025-09-16,3,0.8383
200516,2024-05-08,2025-06-28,1,0.0828
200517,2024-03-08,2025-11-24,1,0.0262
200518,2024-09-07,2025-06-02,2,0.3451
200519,2024-12-03,2025-08-20,1,0.2588
200520,2024-05-03,2025-09-02,1,0.0693
200521,2024-10-21,2025-06-19,1,0.0146
200522,2024-05-29,2025-09-13,1,0.0892
200523,2024-07-18,2025-09-16,1,0.1385
200524,2024-10-19,2025-09-04,1,0.6857
200525,2024-12-13,2025-08-06,1,0.0803
200526,2024-08-10,2025-11-15,1,0.0618
200527,2024-05-16,2025-07-03,1,0.1616
200528,2024-06-20,2025-10-12,1,0.1494
200529,2024-11-11,2025-08-06,2,0.3445
200530,2024-05-08,2025-08-09,1,0.2258
200531,2024-06-19,2025-07-13,1,0.1428
200532,2024-10-09,2025-09-30,1,0.088
200533,2024-11-05,2025-07-06,1,0.2691
200534,2024-06-12,2025-08-07,1,0.0541
200535,2024-11-24,2025-08-27,2,0.0202
200536,2024-11-10,2025-06-02,1,0.0195
200537,2024-06-17,2025-10-24,2,0.2627
200538,2024-04-11,2025-07-30,1,0.2731
200539,2024-03-05,2025-11-07,2,0.1919
200540,2024-02-14,2025-09-25,1,0.2242
200541,2024-03-11,2025-07-17,1,0.0839
200542,2024-01-26,2025-09-28,1,0.124
200543,2024-04-15,2025-08-20,2,0.0212
200544,2024-12-27,2025-08-27,1,0.5569
200545,2024-03-22,2025-10-30,2,0.1269
200546,2024-05-20,2025-09-24,1,0.6771
200547,2024-05-21,2025-11-25,2,0.1778
200548,2024-07-08,2025-11-15,1,0.1281
200549,2024-07-03,2025-10-31,1,0.0762
200550,2024-07-31,2025-08-23,1,0.0168
200551,2024-02-01,2025-08-28,1,0.2206
200552,2024-04-27,2025-11-06,1,0.0474
200553,2024-11-28,2025-11-04,1,0.0971
200554,2024-12-22,2025-08-06,1,0.0481
200555,2024-01-01,2025-10-06,1,0.1008
200556,2024-08-18,2025-09-16,1,0.0322
200557,2024-02-20,2025-06-21,1,0.07
200558,2024-07-14,2025-06-23,1,0.2943
200559,2024-01-04,2025-06-16,3,0.0973
200560,2024-10-02,2025-07-17,1,0.0596
200561,2024-12-26,2025-11-16,2,0.1689
200562,2024-02-14,2025-07-28,1,0.0306
200563,2024-05-29,2025-11-14,1,0.5994
200564,2024-03-11,2025-08-19,1,0.3905
200565,2024-03-12,2025-08-22,1,0.0602
200566,2024-10-16,2025-07-17,1,0.3035
200567,2024-02-13,2025-09-28,1,0.0642
200568,2024-02-15,2025-09-15,1,0.1548
200569,2024-05-15,2025-07-25,1,0.1624
200570,2024-04-22,2025-10-20,3,0.2105
200571,2024-12-22,2025-10-05,1,0.2037
200572,2024-05-23,2025-10-07,1,0.0709
200573,2024-07-19,2025-08-20,1,0.2449
200574,2024-02-07,2025-09-25,1,0.0127
200575,2024-05-09,2025-08-02,2,0.1691
200576,2024-03-16,2025-11-27,2,0.1016
200577,2024-05-13,2025-08-19,1,0.1074
200578,2024-04-20,2025-07-20,3,0.3587
200579,2024-02-12,2025-08-21,1,0.5119
200580,2024-07-21,2025-11-17,1,0.4109
200581,2024-07-07,2025-11-17,1,0.1849
200582,2024-07-08,2025-08-04,1,0.3029
