customer_id,customer_segment,kyc_level,age_band,occupation_group,residency_flag,historical_risk_band
74,mass,3,35_49,trade,domestic,low
75,mass,2,50_plus,professional,domestic,low
76,mass,2,25_34,retired,domestic,low
77,mass,2,25_34,student,domestic,low
78,mass,3,18_24,professional,domestic,high
79,mass,1,25_34,professional,domestic,low
80,affluent,3,35_49,trade,domestic,low
81,mass,1,25_34,trade,domestic,low
82,mass,3,35_49,student,domestic,low
83,affluent,1,25_34,professional,domestic,low
84,mass,2,18_24,self_employed,overseas,low
85,mass,1,50_plus,public_sector,domestic,low
86,mass,2,25_34,trade,domestic,low
87,affluent,2,35_49,professional,domestic,low
88,mass,2,25_34,retired,domestic,low
89,mass,2,50_plus,public_sector,domestic,low
90,mass,2,25_34,retail,domestic,low
91,mass,2,25_34,trade,domestic,low
92,mass,3,35_49,student,domestic,medium
93,mass,2,25_34,student,domestic,low
94,mass,1,25_34,self_employed,domestic,low
95,mass,2,50_plus,public_sector,domestic,low
96,mass,3,35_49,student,domestic,low
97,mass,1,35_49,trade,domestic,medium
98,mass,2,35_49,self_employed,overseas,low
99,mass,3,50_plus,retail,domestic,low
100,sme,3,50_plus,public_sector,domestic,low
101,sme,2,35_49,retired,overseas,low
102,mass,2,25_34,retired,domestic,medium
103,mass,2,18_24,retail,overseas,medium
104,sme,2,35_49,public_sector,domestic,low
105,affluent,1,50_plus,student,domestic,low
106,affluent,1,25_34,retired,domestic,low
107,mass,2,25_34,self_employed,domestic,low
108,mass,2,25_34,professional,overseas,medium
109,mass,2,35_49,trade,domestic,low
110,sme,2,50_plus,student,domestic,medium
111,mass,3,25_34,self_employed,domestic,low
112,mass,3,35_49,self_employed,domestic,low
113,mass,2,35_49,public_sector,domestic,low
114,mass,2,50_plus,retail,domestic,low
115,mass,2,18_24,retail,domestic,low
116,affluent,2,50_plus,self_employed,domestic,low
117,affluent,2,35_49,trade,overseas,low
118,affluent,3,35_49,public_sector,domestic,low
119,mass,3,18_24,self_employed,domestic,low
120,mass,3,35_49,student,domestic,high
121,mass,3,35_49,trade,domestic,low
122,mass,3,25_34,self_employed,domestic,low
123,mass,2,25_34,professional,domestic,low
124,mass,3,35_49,professional,domestic,low
125,mass,2,35_49,retail,domestic,medium
126,mass,2,18_24,professional,domestic,low
127,mass,2,25_34,retired,domestic,low
128,mass,2,25_34,student,overseas,low
129,mass,2,50_plus,professional,domestic,low
130,mass,2,50_plus,student,domestic,low
131,mass,1,25_34,retail,domestic,low
132,sme,2,25_34,self_employed,domestic,low
133,mass,3,25_34,student,domestic,medium
134,mass,2,25_34,public_sector,domestic,low
135,mass,2,50_plus,professional,domestic,low
136,mass,2,35_49,professional,domestic,low
137,sme,2,18_24,retail,domestic,low
138,mass,2,18_24,retired,domestic,low
139,affluent,3,25_34,public_sector,domestic,low
140,mass,2,50_plus,trade,domestic,low
141,mass,2,35_49,professional,domestic,low
142,mass,2,35_49,student,domestic,low
143,sme,2,25_34,trade,domestic,low
144,mass,3,50_plus,self_employed,domestic,low
145,mass,2,25_34,public_sector,domestic,low
146,mass,3,50_plus,trade,overseas,medium
147,mass,2,50_plus,professional,domestic,low
148,mass,2,25_34,trade,domestic,low
149,mass,2,50_plus,trade,domestic,low
150,mass,3,25_34,self_employed,domestic,low
151,affluent,3,35_49,self_employed,domestic,low
152,affluent,2,18_24,professional,domestic,low
153,mass,3,25_34,retail,domestic,low
154,mass,2,25_34,professional,domestic,low
155,mass,2,18_24,professional,domestic,low
156,mass,3,18_24,self_employed,domestic,low
157,mass,2,25_34,self_employed,domestic,low
158,mass,2,35_49,self_employed,domestic,low
159,affluent,1,25_34,professional,domestic,medium
160,affluent,2,25_34,public_sector,domestic,low
161,mass,3,50_plus,retail,domestic,medium
162,sme,2,50_plus,retired,domestic,low
163,mass,2,18_24,public_sector,domestic,low
164,mass,2,25_34,retired,domestic,low
165,mass,2,35_49,professional,domestic,low
166,mass,3,35_49,retail,overseas,low
167,affluent,3,25_34,self_employed,domestic,low
168,affluent,1,35_49,trade,domestic,low
169,mass,2,18_24,public_sector,domestic,low
170,sme,2,25_34,retail,domestic,medium
171,mass,2,35_49,retired,domestic,low
172,mass,2,35_49,professional,domestic,medium
173,mass,2,50_plus,retired,domestic,low
174,sme,2,18_24,retail,domestic,low
175,mass,2,25_34,retail,domestic,low
176,mass,2,18_24,retail,domestic,low
177,mass,2,25_34,trade,domestic,low
178,sme,3,18_24,retired,domestic,low
179,affluent,2,35_49,student,domestic,low
180,affluent,2,35_49,retired,domestic,low
181,affluent,3,35_49,retired,domestic,high
182,affluent,3,25_34,public_sector,domestic,low
183,mass,2,18_24,retail,domestic,low
184,mass,2,35_49,student,domestic,low
185,affluent,2,18_24,professional,domestic,low
186,mass,2,50_plus,student,domestic,low
187,mass,2,18_24,retail,domestic,low
188,mass,2,35_49,public_sector,domestic,low
189,affluent,2,50_plus,trade,domestic,low
190,mass,2,35_49,trade,domestic,low
191,sme,3,35_49,professional,overseas,low
192,mass,2,35_49,retail,domestic,low
193,mass,3,18_24,retail,domestic,medium
194,affluent,3,35_49,professional,domestic,low
195,mass,3,50_plus,professional,domestic,low
196,mass,2,50_plus,public_sector,overseas,low
197,mass,3,25_34,trade,domestic,low
198,affluent,1,25_34,student,domestic,low
199,mass,2,35_49,professional,domestic,low
200,mass,3,35_49,public_sector,domestic,low
201,affluent,2,25_34,professional,domestic,low
202,sme,2,25_34,retail,domestic,low
203,mass,2,25_34,public_sector,domestic,low
204,mass,3,25_34,public_sector,domestic,low
205,mass,2,25_34,retail,domestic,low
206,mass,2,18_24,retail,domestic,medium
207,mass,3,18_24,professional,domestic,low
208,mass,2,50_plus,retail,domestic,low
209,mass,2,18_24,trade,domestic,low
210,mass,2,18_24,public_sector,domestic,low
211,mass,3,25_34,retail,domestic,low
212,mass,2,25_34,self_employed,domestic,low
213,mass,2,50_plus,retail,domestic,low
214,affluent,1,50_plus,professional,domestic,low
215,affluent,3,25_34,trade,domestic,low
216,affluent,2,25_34,professional,domestic,low
217,mass,2,25_34,retail,domestic,low
218,mass,3,18_24,student,domestic,low
219,sme,1,25_34,self_employed,domestic,low
220,mass,2,18_24,retail,domestic,low
221,mass,2,18_24,professional,domestic,low
222,mass,3,35_49,student,domestic,low
223,mass,2,18_24,professional,domestic,low
224,sme,2,18_24,trade,domestic,high
225,mass,2,25_34,student,domestic,low
226,sme,2,25_34,trade,domestic,low
227,mass,2,18_24,professional,domestic,medium
228,mass,1,18_24,trade,domestic,low
229,mass,2,25_34,public_sector,domestic,low
230,mass,3,25_34,professional,domestic,low
231,mass,1,50_plus,public_sector,domestic,medium
232,mass,2,50_plus,retail,domestic,low
233,sme,2,25_34,trade,domestic,low
234,mass,2,25_34,professional,domestic,medium
235,sme,2,35_49,student,domestic,low
236,affluent,2,35_49,trade,domestic,high
237,mass,2,25_34,self_employed,domestic,low
238,affluent,2,18_24,retail,domestic,medium
239,mass,2,25_34,professional,domestic,low
240,mass,2,35_49,retail,domestic,low
241,affluent,1,18_24,retail,domestic,medium
242,affluent,3,25_34,retail,domestic,low
243,mass,2,25_34,self_employed,domestic,low
244,mass,2,25_34,student,domestic,low
245,mass,2,25_34,self_employed,domestic,medium
246,affluent,2,35_49,public_sector,domestic,low
247,mass,2,35_49,retail,domestic,medium
248,mass,2,25_34,public_sector,domestic,low
249,mass,2,18_24,trade,domestic,low
250,mass,1,50_plus,self_employed,overseas,low
251,mass,2,25_34,student,domestic,medium
252,affluent,2,18_24,trade,overseas,low
253,mass,3,25_34,student,domestic,low
254,mass,1,50_plus,student,domestic,low
255,mass,3,35_49,retail,domestic,medium
256,affluent,2,50_plus,student,domestic,low
257,affluent,3,35_49,professional,domestic,low
258,mass,2,25_34,professional,domestic,low
259,mass,2,25_34,trade,domestic,low
260,mass,2,25_34,public_sector,domestic,low
261,mass,2,35_49,trade,domestic,low
262,affluent,3,35_49,retired,overseas,low
263,mass,1,25_34,trade,domestic,low
264,mass,2,50_plus,trade,domestic,low
265,sme,1,25_34,public_sector,domestic,low
266,mass,3,18_24,professional,domestic,low
267,mass,2,25_34,self_employed,domestic,low
268,mass,2,50_plus,trade,domestic,low
269,mass,3,50_plus,retired,domestic,low
270,mass,3,25_34,public_sector,domestic,low
271,mass,2,50_plus,professional,domestic,low
272,mass,2,50_plus,professional,domestic,low
273,mass,3,50_plus,professional,domestic,low
274,mass,1,50_plus,retired,domestic,low
275,mass,2,25_34,public_sector,domestic,low
276,mass,2,35_49,retail,domestic,low
277,mass,2,35_49,professional,domestic,low
278,mass,2,35_49,student,domestic,low
279,affluent,2,25_34,professional,domestic,low
280,affluent,1,35_49,self_employed,overseas,low
281,mass,1,50_plus,self_employed,domestic,low
282,mass,1,25_34,trade,domestic,low
283,mass,2,50_plus,retail,domestic,low
284,mass,2,25_34,professional,overseas,low
285,mass,2,25_34,trade,domestic,low
286,mass,2,18_24,retired,domestic,low
287,mass,2,35_49,public_sector,domestic,low
288,mass,2,35_49,student,domestic,low
289,mass,3,25_34,retail,domestic,low
290,mass,2,35_49,professional,domestic,low
291,affluent,3,25_34,self_employed,domestic,low
292,mass,1,25_34,retail,domestic,low
293,sme,2,50_plus,professional,domestic,low
294,mass,3,35_49,retail,domestic,low
295,affluent,3,35_49,public_sector,domestic,low
296,sme,2,35_49,self_employed,domestic,low
297,sme,2,50_plus,professional,domestic,medium
298,affluent,2,25_34,student,domestic,low
299,affluent,2,25_34,trade,domestic,low
300,mass,2,18_24,trade,overseas,low
301,affluent,3,35_49,professional,domestic,medium
302,mass,2,35_49,self_employed,domestic,low
303,mass,1,35_49,trade,domestic,low
304,mass,2,25_34,retail,domestic,low
305,affluent,1,18_24,professional,domestic,low
306,mass,2,35_49,public_sector,domestic,low
307,mass,2,50_plus,self_employed,domestic,medium
308,mass,2,25_34,trade,domestic,medium
309,mass,2,25_34,retired,domestic,medium
310,mass,2,25_34,professional,domestic,low
311,mass,1,25_34,professional,domestic,low
312,mass,3,25_34,public_sector,domestic,low
313,mass,2,25_34,self_employed,domestic,low
314,mass,1,35_49,trade,overseas,low
315,mass,1,25_34,public_sector,domestic,low
316,mass,2,25_34,trade,domestic,low
317,mass,2,18_24,public_sector,domestic,medium
318,mass,2,50_plus,public_sector,domestic,medium
319,mass,2,25_34,retired,overseas,low
320,sme,3,25_34,retail,domestic,low
321,sme,2,18_24,public_sector,domestic,low
322,mass,2,35_49,public_sector,domestic,low
323,mass,1,50_plus,trade,domestic,low
324,mass,3,18_24,trade,domestic,low
325,affluent,3,18_24,retired,domestic,low
326,mass,2,18_24,professional,domestic,medium
327,affluent,2,35_49,self_employed,domestic,medium
328,mass,2,50_plus,professional,domestic,low
329,mass,3,25_34,self_employed,domestic,low
330,mass,2,25_34,professional,domestic,low
331,affluent,2,35_49,retired,domestic,low
332,mass,2,35_49,public_sector,domestic,low
333,mass,2,25_34,professional,domestic,low
334,affluent,3,25_34,public_sector,domestic,low
335,mass,2,25_34,public_sector,domestic,low
336,mass,2,35_49,trade,overseas,low
337,mass,2,35_49,trade,domestic,medium
338,affluent,2,35_49,self_employed,overseas,low
339,mass,2,50_plus,self_employed,domestic,low
340,sme,1,25_34,trade,domestic,high
341,mass,2,25_34,student,domestic,low
342,sme,2,18_24,trade,overseas,low
343,affluent,2,50_plus,professional,domestic,medium
344,mass,2,35_49,public_sector,overseas,low
345,affluent,2,25_34,professional,domestic,low
346,affluent,2,18_24,trade,domestic,low
347,sme,2,35_49,retail,domestic,low
348,mass,1,35_49,trade,domestic,low
349,mass,2,35_49,professional,domestic,low
350,mass,2,25_34,self_employed,domestic,low
351,mass,2,50_plus,retail,domestic,low
352,mass,2,35_49,student,domestic,high
353,mass,3,35_49,public_sector,domestic,low
354,mass,2,35_49,retail,domestic,low
355,mass,2,50_plus,trade,domestic,medium
356,mass,3,50_plus,self_employed,domestic,low
357,affluent,2,35_49,professional,domestic,low
358,affluent,2,25_34,professional,domestic,low
359,mass,2,25_34,student,domestic,low
360,mass,2,50_plus,self_employed,domestic,low
361,sme,2,35_49,public_sector,domestic,low
362,mass,2,18_24,professional,domestic,medium
363,mass,2,18_24,professional,domestic,low
364,mass,1,50_plus,retail,domestic,low
365,mass,2,50_plus,self_employed,domestic,low
366,mass,1,50_plus,retail,domestic,medium
367,affluent,2,25_34,professional,domestic,low
368,mass,2,35_49,professional,domestic,low
369,mass,3,50_plus,public_sector,domestic,low
370,affluent,1,25_34,public_sector,overseas,low
371,affluent,2,18_24,professional,domestic,medium
372,mass,2,50_plus,professional,domestic,low
373,mass,1,18_24,trade,domestic,low
374,mass,2,35_49,professional,domestic,low
375,mass,1,35_49,retail,domestic,low
376,mass,2,35_49,professional,domestic,low
377,sme,2,25_34,public_sector,domestic,low
378,mass,2,35_49,self_employed,domestic,low
379,mass,2,25_34,retired,domestic,low
380,affluent,1,50_plus,retired,domestic,low
381,mass,2,25_34,trade,domestic,low
382,sme,1,35_49,professional,domestic,low
383,affluent,2,35_49,trade,domestic,low
384,mass,2,25_34,self_employed,domestic,medium
385,mass,2,25_34,professional,domestic,medium
386,sme,2,35_49,trade,domestic,medium
387,affluent,1,18_24,trade,domestic,low
388,sme,3,25_34,professional,domestic,low
389,mass,1,25_34,self_employed,domestic,medium
390,affluent,1,50_plus,public_sector,domestic,low
391,mass,1,35_49,retail,domestic,low
392,mass,3,25_34,student,overseas,medium
393,mass,2,50_plus,professional,domestic,low
394,mass,2,25_34,professional,domestic,low
395,mass,3,25_34,trade,domestic,low
396,mass,1,25_34,public_sector,domestic,low
397,affluent,3,25_34,public_sector,domestic,low
398,mass,2,25_34,professional,domestic,low
399,mass,2,35_49,retired,domestic,low
400,mass,2,18_24,trade,domestic,low
401,mass,2,35_49,trade,overseas,low
402,sme,3,25_34,public_sector,domestic,low
403,affluent,1,25_34,retired,domestic,low
404,mass,3,18_24,public_sector,domestic,medium
405,sme,2,35_49,retired,domestic,low
406,affluent,2,35_49,professional,domestic,medium
407,mass,3,25_34,public_sector,domestic,low
408,affluent,1,25_34,student,domestic,low
409,mass,3,25_34,retail,domestic,low
410,sme,2,50_plus,trade,domestic,low
411,mass,2,25_34,retired,domestic,low
412,mass,1,35_49,professional,domestic,low
413,mass,2,25_34,retail,domestic,low
414,affluent,2,25_34,student,domestic,medium
415,mass,2,35_49,student,domestic,low
416,mass,2,25_34,retired,overseas,medium
417,mass,2,18_24,student,domestic,low
418,affluent,3,50_plus,professional,domestic,medium
419,mass,1,18_24,retired,domestic,low
420,sme,2,25_34,retail,domestic,low
421,mass,3,25_34,public_sector,domestic,low
422,mass,1,25_34,trade,domestic,medium
423,mass,2,35_49,self_employed,domestic,low
424,mass,2,18_24,public_sector,domestic,low
425,mass,1,50_plus,student,domestic,medium
426,affluent,2,35_49,professional,domestic,low
427,mass,2,50_plus,professional,domestic,low
428,affluent,2,50_plus,retail,domestic,low
429,mass,2,50_plus,professional,domestic,low
430,affluent,2,35_49,public_sector,domestic,low
431,sme,2,25_34,trade,domestic,low
432,affluent,2,25_34,public_sector,domestic,low
433,mass,2,35_49,professional,domestic,low
434,affluent,3,25_34,professional,domestic,low
435,mass,2,35_49,public_sector,domestic,high
436,mass,2,18_24,trade,overseas,low
437,mass,2,50_plus,professional,domestic,low
438,mass,1,25_34,professional,domestic,low
439,affluent,2,50_plus,professional,domestic,low
440,mass,1,25_34,public_sector,domestic,low
441,affluent,3,18_24,professional,domestic,low
442,mass,2,50_plus,trade,domestic,low
443,affluent,3,50_plus,public_sector,overseas,low
444,mass,2,35_49,retail,domestic,medium
445,mass,2,50_plus,public_sector,domestic,low
446,affluent,2,25_34,trade,domestic,low
447,sme,2,50_plus,retired,domestic,low
448,mass,2,25_34,retail,domestic,low
449,mass,3,35_49,trade,domestic,low
450,mass,3,25_34,student,domestic,medium
451,mass,2,18_24,public_sector,domestic,low
452,affluent,2,35_49,public_sector,domestic,low
453,affluent,1,35_49,student,domestic,low
454,mass,3,25_34,professional,domestic,low
455,mass,2,50_plus,student,domestic,medium
456,mass,2,35_49,public_sector,domestic,low
457,sme,2,25_34,trade,domestic,low
458,mass,1,35_49,trade,domestic,low
459,affluent,2,25_34,professional,domestic,medium
460,mass,3,18_24,retired,domestic,medium
461,mass,2,35_49,professional,overseas,low
462,mass,3,18_24,trade,domestic,low
463,sme,1,18_24,public_sector,domestic,low
464,mass,2,35_49,self_employed,domestic,low
465,mass,2,18_24,professional,domestic,low
466,mass,2,50_plus,self_employed,domestic,low
467,mass,2,35_49,retail,domestic,low
468,sme,2,18_24,student,domestic,low
469,mass,2,35_49,professional,domestic,low
470,mass,2,18_24,professional,domestic,low
471,mass,2,35_49,public_sector,domestic,low
472,mass,2,18_24,professional,domestic,low
473,mass,1,50_plus,retail,domestic,medium
474,mass,3,25_34,professional,domestic,medium
475,mass,2,35_49,self_employed,domestic,low
476,mass,3,18_24,student,domestic,low
477,mass,2,25_34,student,domestic,low
478,mass,2,25_34,retired,domestic,low
479,mass,2,35_49,student,domestic,low
480,mass,3,50_plus,retail,domestic,low
481,mass,2,18_24,trade,overseas,low
482,mass,2,18_24,student,domestic,low
483,mass,1,25_34,retired,domestic,low
484,mass,2,25_34,retired,domestic,low
485,mass,1,50_plus,self_employed,domestic,low
486,mass,2,50_plus,professional,domestic,low
487,mass,1,50_plus,retired,domestic,medium
488,mass,2,18_24,retired,domestic,low
489,mass,2,25_34,public_sector,overseas,low
490,mass,2,35_49,student,domestic,low
491,affluent,2,25_34,public_sector,domestic,low
492,mass,3,35_49,retired,domestic,low
493,mass,2,25_34,professional,overseas,low
494,mass,2,25_34,student,domestic,low
495,affluent,2,50_plus,professional,domestic,low
496,mass,2,25_34,trade,domestic,low
497,mass,2,50_plus,professional,domestic,medium
498,mass,2,25_34,retail,domestic,low
499,mass,3,18_24,professional,domestic,medium
500,mass,1,25_34,retired,domestic,low
501,affluent,3,25_34,public_sector,domestic,low
502,affluent,2,35_49,student,domestic,low
503,sme,2,18_24,trade,domestic,low
504,mass,2,35_49,professional,domestic,low
505,mass,1,50_plus,self_employed,domestic,low
506,affluent,2,25_34,self_employed,domestic,low
507,mass,2,25_34,retail,domestic,low
508,affluent,1,25_34,self_employed,domestic,low
509,mass,1,35_49,student,domestic,low
510,mass,2,35_49,public_sector,domestic,low
511,mass,2,18_24,retired,domestic,low
512,affluent,3,35_49,self_employed,domestic,low
513,mass,2,25_34,public_sector,domestic,high
514,mass,2,25_34,trade,domestic,low
515,mass,2,18_24,professional,domestic,low
516,mass,2,50_plus,professional,domestic,low
517,mass,3,25_34,self_employed,domestic,low
518,affluent,1,25_34,self_employed,domestic,low
519,mass,2,18_24,trade,domestic,low
520,affluent,2,35_49,public_sector,overseas,low
521,affluent,2,25_34,professional,domestic,medium
522,mass,2,25_34,trade,domestic,low
523,mass,2,25_34,retired,domestic,low
524,mass,2,35_49,retail,domestic,low
525,mass,2,25_34,professional,domestic,low
526,mass,1,50_plus,retail,domestic,low
527,sme,2,25_34,trade,overseas,low
528,sme,3,25_34,self_employed,domestic,low
529,affluent,2,50_plus,retired,domestic,low
530,mass,2,50_plus,public_sector,domestic,low
531,mass,2,25_34,public_sector,domestic,low
532,affluent,1,50_plus,trade,domestic,low
533,mass,2,35_49,public_sector,domestic,low
534,mass,2,25_34,trade,domestic,low
535,mass,3,50_plus,professional,domestic,low
536,mass,2,35_49,student,domestic,low
537,mass,2,25_34,retail,domestic,medium
538,mass,1,35_49,retail,domestic,low
539,mass,2,25_34,professional,domestic,low
540,affluent,2,18_24,student,overseas,high
541,sme,2,50_plus,professional,overseas,high
542,mass,3,35_49,retail,domestic,low
543,affluent,2,35_49,student,domestic,low
544,sme,2,35_49,retail,domestic,low
545,mass,2,35_49,retired,domestic,medium
546,mass,3,25_34,professional,domestic,low
547,mass,2,50_plus,self_employed,domestic,low
548,mass,2,35_49,retired,domestic,low
549,affluent,3,35_49,retail,domestic,high
550,mass,2,25_34,public_sector,domestic,low
551,mass,3,25_34,trade,overseas,low
552,mass,1,18_24,self_employed,domestic,medium
553,mass,2,25_34,student,overseas,low
554,sme,2,25_34,self_employed,domestic,low
555,mass,2,35_49,retired,domestic,low
556,mass,2,50_plus,public_sector,domestic,low
557,mass,2,25_34,public_sector,domestic,low
558,mass,2,25_34,trade,domestic,low
559,mass,2,35_49,self_employed,domestic,low
560,mass,2,18_24,student,domestic,low
561,mass,2,50_plus,public_sector,domestic,low
562,mass,2,25_34,professional,domestic,medium
563,affluent,2,18_24,retail,domestic,low
564,mass,3,25_34,self_employed,domestic,medium
565,mass,2,50_plus,retired,domestic,low
566,mass,2,25_34,professional,domestic,low
567,affluent,2,35_49,professional,domestic,low
568,mass,2,25_34,retail,domestic,medium
569,mass,2,25_34,professional,domestic,low
570,mass,2,50_plus,retired,overseas,low
571,mass,1,18_24,retail,domestic,low
572,affluent,3,18_24,retail,domestic,low
573,mass,3,35_49,professional,domestic,low
574,affluent,2,50_plus,retail,domestic,low
575,affluent,3,25_34,retired,domestic,low
576,mass,3,18_24,retail,domestic,medium
577,sme,2,50_plus,professional,domestic,low
578,mass,2,35_49,professional,domestic,low
579,affluent,2,50_plus,retired,domestic,low
580,mass,2,35_49,retired,domestic,high
581,mass,2,35_49,professional,domestic,low
582,mass,1,25_34,public_sector,domestic,low
583,mass,2,25_34,professional,domestic,low
584,mass,2,35_49,public_sector,domestic,low
585,sme,2,35_49,professional,domestic,low
586,mass,2,50_plus,self_employed,domestic,low
587,mass,2,35_49,retired,domestic,low
588,mass,2,25_34,professional,overseas,low
589,mass,2,25_34,retail,domestic,medium
590,mass,3,35_49,professional,domestic,medium
591,sme,3,25_34,trade,domestic,low
592,mass,3,35_49,professional,domestic,low
593,mass,3,35_49,trade,domestic,low
594,mass,3,18_24,retired,domestic,low
595,mass,2,35_49,professional,domestic,low
596,mass,1,35_49,student,domestic,low
597,affluent,1,50_plus,professional,domestic,low
598,mass,2,25_34,retail,domestic,low
599,sme,2,35_49,retail,domestic,low
600,mass,2,25_34,retired,domestic,low
601,mass,3,35_49,professional,domestic,low
602,affluent,2,18_24,professional,domestic,low
603,sme,3,50_plus,self_employed,domestic,low
604,affluent,2,50_plus,self_employed,domestic,low
605,sme,2,35_49,public_sector,domestic,low
606,affluent,2,35_49,professional,domestic,low
607,affluent,2,18_24,trade,domestic,medium
608,mass,2,35_49,student,overseas,low
609,affluent,2,25_34,public_sector,overseas,low
610,mass,3,35_49,public_sector,domestic,low
611,mass,2,18_24,trade,domestic,low
612,mass,2,35_49,trade,domestic,low
613,sme,2,25_34,retired,domestic,low
614,sme,2,35_49,self_employed,domestic,low
615,mass,2,35_49,professional,domestic,low
616,affluent,2,25_34,retired,domestic,medium
617,affluent,2,25_34,public_sector,domestic,low
618,mass,2,50_plus,trade,domestic,medium
619,mass,2,35_49,trade,overseas,low
620,mass,2,18_24,self_employed,domestic,low
621,affluent,2,25_34,trade,domestic,low
622,mass,2,25_34,public_sector,domestic,low
623,sme,2,35_49,self_employed,domestic,low
624,mass,2,35_49,professional,domestic,medium
625,sme,2,18_24,retired,domestic,medium
626,mass,2,35_49,trade,domestic,low
627,affluent,2,35_49,retail,domestic,low
628,mass,1,35_49,public_sector,domestic,low
629,mass,2,18_24,public_sector,domestic,low
630,affluent,3,25_34,retail,domestic,low
631,sme,2,25_34,public_sector,domestic,low
632,affluent,3,25_34,student,domestic,low
633,mass,1,25_34,self_employed,overseas,low
634,mass,1,18_24,student,domestic,low
635,mass,2,18_24,trade,domestic,low
636,mass,2,35_49,retail,domestic,medium
637,mass,3,25_34,public_sector,overseas,low
638,affluent,1,35_49,professional,domestic,low
639,affluent,2,18_24,self_employed,domestic,low
640,affluent,2,35_49,trade,domestic,medium
641,affluent,2,25_34,trade,domestic,low
642,affluent,2,35_49,trade,domestic,low
643,mass,3,35_49,trade,domestic,low
644,mass,1,25_34,trade,overseas,low
645,mass,3,35_49,public_sector,domestic,low
646,affluent,2,25_34,public_sector,domestic,low
647,mass,2,35_49,trade,domestic,medium
648,mass,2,18_24,professional,domestic,low
649,mass,3,25_34,student,domestic,low
650,mass,2,25_34,professional,domestic,low
651,mass,1,50_plus,retail,domestic,low
652,affluent,2,25_34,retail,domestic,low
653,mass,2,35_49,public_sector,domestic,low
654,mass,1,25_34,student,domestic,low
655,affluent,2,25_34,public_sector,domestic,medium
656,mass,2,25_34,retired,domestic,low
657,affluent,1,50_plus,student,domestic,low
658,mass,1,35_49,professional,domestic,low
659,mass,3,18_24,professional,domestic,medium
660,mass,2,35_49,trade,domestic,low
661,mass,3,25_34,trade,domestic,low
662,affluent,3,18_24,public_sector,domestic,low
663,mass,1,35_49,professional,overseas,medium
664,mass,2,18_24,professional,domestic,low
