alert_id,entity_type,entity_id,event_time,trigger_source,model_score,alert_priority,review_outcome,recovery_amount
80040,transaction,412,2025-02-10 21:00:38,rule_engine,0.1352,low,auto_closed,0.0
80041,transaction,413,2025-02-24 06:42:40,anomaly_detector,1.0,high,pending,232.5
80042,transaction,423,2025-03-02 06:39:07,ml_model,0.5322,medium,investigated,95.69
80043,transaction,429,2025-03-18 06:07:18,ml_model,0.4953,medium,investigated,37.57
80044,transaction,439,2025-02-03 12:42:26,ml_model,0.5268,medium,investigated,139.3
80045,transaction,443,2025-03-15 19:09:41,rule_engine,0.2074,low,pending,0.0
80046,transaction,448,2025-01-22 06:10:51,rule_engine,0.4503,medium,pending,0.0
80047,transaction,453,2025-03-06 15:36:33,anomaly_detector,0.4784,medium,pending,0.0
80048,transaction,456,2025-01-14 15:31:24,rule_engine,0.4627,medium,pending,0.0
80049,transaction,464,2025-03-06 20:23:12,rule_engine,0.7518,high,pending,0.0
80050,transaction,468,2025-02-26 05:33:57,rule_engine,0.3511,low,auto_closed,0.0
80051,transaction,474,2025-03-14 14:25:24,anomaly_detector,0.3411,low,investigated,130.83
80052,transaction,482,2025-02-18 01:25:24,ml_model,0.2089,low,auto_closed,0.0
80053,transaction,486,2025-01-19 08:22:32,ml_model,0.4062,medium,pending,0.0
80054,transaction,490,2025-03-09 04:59:53,anomaly_detector,0.3772,low,auto_closed,0.0
80055,transaction,495,2025-03-03 08:20:53,anomaly_detector,0.71,high,investigated,134.17
80056,transaction,501,2025-01-24 05:35:09,rule_engine,0.4218,medium,pending,0.0
80057,transaction,521,2025-03-15 10:01:12,rule_engine,0.7815,high,investigated,167.15
80058,transaction,522,2025-03-27 20:11:07,ml_model,0.5602,medium,investigated,41.23
80059,transaction,523,2025-01-14 04:25:06,rule_engine,0.1598,low,auto_closed,0.0
80060,transaction,528,2025-03-07 13:53:19,rule_engine,0.5536,medium,pending,158.34
80061,transaction,536,2025-02-15 20:20:00,rule_engine,0.0996,low,auto_closed,0.0
80062,transaction,540,2025-03-31 00:43:14,rule_engine,0.5715,medium,pending,0.0
80063,transaction,553,2025-02-19 08:32:27,rule_engine,0.4453,medium,pending,0.0
80064,transaction,560,2025-02-09 10:02:29,rule_engine,1.0,high,investigated,80.24
80065,transaction,579,2025-01-08 04:18:41,rule_engine,0.6809,medium,pending,0.0
80066,transaction,582,2025-02-02 06:38:49,rule_engine,0.4614,medium,auto_closed,0.0
80067,transaction,587,2025-03-29 13:43:55,ml_model,0.7292,high,pending,0.0
80068,transaction,589,2025-03-31 18:04:05,rule_engine,0.8225,high,auto_closed,0.0
80069,transaction,592,2025-01-19 18:02:30,rule_engine,0.2092,low,auto_closed,0.0
80070,transaction,601,2025-01-31 03:39:36,rule_engine,0.589,medium,auto_closed,0.0
80071,transaction,602,2025-02-16 14:27:49,anomaly_detector,0.1665,low,auto_closed,0.0
80072,transaction,603,2025-03-06 13:33:59,anomaly_detector,0.1564,low,auto_closed,0.0
80073,transaction,606,2025-01-14 09:56:48,anomaly_detector,0.4606,medium,investigated,183.24
80074,transaction,617,2025-02-17 03:30:44,rule_engine,0.7833,high,investigated,28.03
80075,transaction,629,2025-03-17 05:52:00,rule_engine,0.462,medium,investigated,57.59
80076,transaction,631,2025-01-12 22:25:56,ml_model,0.3043,low,investigated,0.0
80077,transaction,649,2025-02-18 08:32:25,ml_model,0.315,low,auto_closed,0.0
80078,transaction,653,2025-01-28 16:33:47,rule_engine,0.296,low,pending,0.0
80079,transaction,654,2025-01-30 01:06:43,rule_engine,0.3721,low,auto_closed,0.0
80080,transaction,662,2025-03-06 13:45:23,anomaly_detector,0.7466,high,auto_closed,0.0
80081,transaction,670,2025-03-07 15:44:55,ml_model,0.5198,medium,investigated,20.98
80082,transaction,680,2025-02-01 12:28:55,ml_model,0.8937,high,investigated,216.54
80083,transaction,696,2025-03-12 12:08:19,rule_engine,0.2072,low,auto_closed,0.0
80084,transaction,700,2025-03-02 02:46:05,anomaly_detector,0.5679,medium,investigated,55.93
80085,transaction,709,2025-03-23 18:10:27,rule_engine,0.5393,medium,pending,0.0
80086,transaction,711,2025-02-13 00:04:35,rule_engine,0.2646,low,investigated,0.0
80087,transaction,720,2025-02-09 22:20:27,rule_engine,0.0709,low,auto_closed,0.0
80088,transaction,722,2025-02-26 00:26:28,rule_engine,0.436,medium,pending,0.0
80089,transaction,729,2025-01-26 05:37:31,rule_engine,0.6237,medium,auto_closed,0.0
80090,transaction,731,2025-03-04 00:33:53,anomaly_detector,0.4953,medium,pending,0.0
80091,transaction,739,2025-03-05 19:18:36,ml_model,0.6557,medium,investigated,119.77
80092,transaction,743,2025-02-01 03:38:00,rule_engine,0.3557,low,auto_closed,0.0
80093,transaction,751,2025-01-16 00:08:56,rule_engine,0.0347,low,pending,0.0
80094,transaction,756,2025-03-06 02:25:26,ml_model,0.2968,low,pending,0.0
80095,transaction,763,2025-01-06 13:43:44,rule_engine,0.7789,high,pending,0.0
80096,transaction,773,2025-01-25 08:38:28,ml_model,0.6695,medium,investigated,55.71
80097,transaction,776,2025-02-06 23:52:26,ml_model,0.3592,low,investigated,64.9
80098,transaction,828,2025-01-16 01:49:18,rule_engine,0.7505,high,investigated,74.59
80099,transaction,834,2025-02-12 13:59:42,rule_engine,0.2633,low,pending,0.0
80100,transaction,836,2025-02-19 23:13:31,ml_model,0.8508,high,pending,40.24
80101,transaction,844,2025-03-07 12:56:49,rule_engine,0.4782,medium,auto_closed,0.0
80102,transaction,845,2025-03-14 07:51:59,ml_model,0.597,medium,pending,0.0
80103,transaction,847,2025-03-22 07:17:57,rule_engine,0.4194,medium,pending,0.0
80104,transaction,849,2025-03-26 01:13:09,rule_engine,0.6697,medium,pending,0.0
80105,transaction,859,2025-03-30 19:37:24,ml_model,0.4801,medium,pending,0.0
80106,transaction,891,2025-03-24 06:10:54,anomaly_detector,0.6694,medium,pending,0.0
80107,transaction,907,2025-01-18 21:18:54,anomaly_detector,0.9864,high,investigated,218.37
80108,transaction,935,2025-03-19 17:27:34,rule_engine,0.5924,medium,pending,0.0
80109,transaction,937,2025-02-14 02:59:16,ml_model,1.0,high,investigated,36.89
80110,transaction,941,2025-03-30 05:42:19,rule_engine,0.2969,low,pending,0.0
80111,transaction,956,2025-02-07 12:41:15,ml_model,0.8634,high,investigated,34.15
80112,transaction,974,2025-03-04 19:53:05,ml_model,0.2874,low,auto_closed,0.0
80113,transaction,980,2025-01-13 21:40:19,ml_model,0.2032,low,pending,0.0
80114,transaction,987,2025-03-13 05:30:46,ml_model,0.9089,high,investigated,44.46
80115,transaction,988,2025-03-19 02:25:17,ml_model,0.3736,low,investigated,72.49
80116,transaction,999,2025-01-09 15:31:31,rule_engine,0.6424,medium,investigated,117.72
80117,transaction,1022,2025-01-20 15:25:12,anomaly_detector,0.304,low,auto_closed,0.0
80118,transaction,1027,2025-03-28 07:35:23,ml_model,0.0622,low,auto_closed,0.0
80119,transaction,1065,2025-03-23 22:20:53,rule_engine,0.2326,low,pending,0.0
80120,transaction,1075,2025-02-05 10:30:48,anomaly_detector,0.2139,low,pending,0.0
80121,transaction,1091,2025-02-03 09:47:51,rule_engine,1.0,high,investigated,100.8
80122,transaction,1098,2025-03-31 22:41:52,rule_engine,0.5512,medium,investigated,0.0
80123,transaction,1106,2025-02-27 00:55:06,rule_engine,0.8035,high,investigated,0.0
80124,transaction,1107,2025-02-28 10:03:54,ml_model,0.2139,low,investigated,0.0
80125,transaction,1108,2025-03-29 00:59:11,ml_model,0.4131,medium,auto_closed,76.44
80126,transaction,1117,2025-02-05 19:46:42,rule_engine,0.738,high,investigated,99.41
80127,transaction,1132,2025-02-07 21:25:29,ml_model,0.7442,high,investigated,26.91
80128,transaction,1134,2025-02-26 20:59:58,ml_model,0.6745,medium,pending,0.0
80129,transaction,1147,2025-02-11 17:52:37,rule_engine,0.2597,low,pending,0.0
80130,transaction,1150,2025-03-13 19:28:21,rule_engine,0.2337,low,auto_closed,0.0
80131,transaction,1155,2025-03-09 10:42:24,ml_model,0.6062,medium,pending,119.67
80132,transaction,1157,2025-03-15 12:05:19,rule_engine,1.0,high,auto_closed,92.5
80133,transaction,1165,2025-03-06 13:07:36,anomaly_detector,0.6308,medium,pending,0.0
80134,transaction,1171,2025-02-26 09:24:01,rule_engine,0.5774,medium,investigated,0.0
80135,transaction,1172,2025-02-26 15:28:43,rule_engine,0.3143,low,auto_closed,0.0
80136,transaction,1173,2025-03-01 00:38:53,ml_model,0.5652,medium,investigated,166.91
80137,transaction,1182,2025-03-05 21:41:45,ml_model,0.1124,low,auto_closed,0.0
80138,transaction,1186,2025-03-18 01:36:18,rule_engine,0.3373,low,pending,0.0
80139,transaction,1193,2025-01-20 23:22:49,ml_model,0.6067,medium,auto_closed,0.0
80140,transaction,1204,2025-01-01 02:36:17,ml_model,0.7921,high,investigated,39.89
80141,transaction,1234,2025-03-02 19:50:27,anomaly_detector,0.8086,high,investigated,100.08
80142,transaction,1235,2025-03-07 23:29:45,anomaly_detector,0.163,low,pending,0.0
80143,transaction,1236,2025-03-15 17:36:51,ml_model,0.8672,high,investigated,66.64
80144,transaction,1239,2025-01-19 06:19:28,rule_engine,0.4973,medium,pending,0.0
80145,transaction,1242,2025-03-16 06:55:10,rule_engine,0.4176,medium,auto_closed,0.0
80146,transaction,1249,2025-02-21 08:09:07,rule_engine,0.2844,low,investigated,0.0
80147,transaction,1254,2025-03-28 18:27:11,ml_model,0.659,medium,investigated,0.0
80148,transaction,1258,2025-01-29 23:48:12,rule_engine,0.6659,medium,pending,0.0
80149,transaction,1269,2025-03-20 20:05:10,rule_engine,0.2483,low,pending,0.0
80150,transaction,1288,2025-03-26 18:48:19,rule_engine,0.254,low,auto_closed,0.0
80151,transaction,1289,2025-03-29 06:52:49,anomaly_detector,0.6299,medium,auto_closed,160.15
80152,transaction,1309,2025-03-01 14:18:06,rule_engine,0.2142,low,investigated,0.0
80153,transaction,1317,2025-01-12 03:32:22,ml_model,1.0,high,pending,135.46
80154,transaction,1347,2025-03-18 08:42:18,anomaly_detector,0.4346,medium,auto_closed,0.0
80155,transaction,1351,2025-02-21 02:43:07,ml_model,0.4132,medium,auto_closed,129.56
80156,transaction,1356,2025-01-15 17:22:53,ml_model,0.6886,medium,investigated,91.93
80157,transaction,1364,2025-02-17 03:17:10,rule_engine,0.6437,medium,investigated,34.89
80158,transaction,1365,2025-02-19 12:49:58,anomaly_detector,0.2937,low,investigated,0.0
80159,transaction,1374,2025-02-09 11:42:27,ml_model,0.8502,high,auto_closed,63.63
80160,transaction,1380,2025-01-04 03:19:07,rule_engine,0.1785,low,pending,0.0
80161,transaction,1394,2025-02-02 07:15:19,anomaly_detector,0.0759,low,investigated,0.0
80162,transaction,1397,2025-03-05 03:14:05,rule_engine,0.9105,high,pending,0.0
80163,transaction,1401,2025-02-02 13:47:50,ml_model,0.6407,medium,investigated,226.0
80164,transaction,1409,2025-03-05 09:21:12,rule_engine,0.0685,low,auto_closed,0.0
80165,transaction,1420,2025-01-10 02:18:52,rule_engine,0.5385,medium,auto_closed,0.0
80166,transaction,1421,2025-02-17 19:46:43,rule_engine,0.6607,medium,investigated,49.55
80167,transaction,1441,2025-02-12 23:13:15,rule_engine,0.2697,low,pending,0.0
80168,transaction,1444,2025-03-02 08:44:15,rule_engine,0.2769,low,auto_closed,0.0
80169,transaction,1459,2025-01-26 08:12:57,rule_engine,1.0,high,investigated,49.48
80170,transaction,1460,2025-02-13 19:43:34,rule_engine,0.2982,low,auto_closed,0.0
80171,transaction,1468,2025-02-07 17:52:11,ml_model,0.269,low,auto_closed,0.0
80172,transaction,1471,2025-01-06 17:16:10,ml_model,0.3088,low,auto_closed,0.0
80173,transaction,1472,2025-01-08 10:23:49,ml_model,0.862,high,pending,46.27
80174,transaction,1473,2025-02-17 01:16:16,rule_engine,0.495,medium,auto_closed,0.0
80175,transaction,1478,2025-01-03 03:32:00,rule_engine,0.6302,medium,investigated,59.33
80176,transaction,1480,2025-02-07 11:32:34,ml_model,0.7299,high,auto_closed,91.89
80177,transaction,1490,2025-02-05 22:37:20,ml_model,0.7826,high,auto_closed,77.29
80178,transaction,1509,2025-01-04 05:21:42,ml_model,0.8384,high,pending,113.49
80179,transaction,1519,2025-03-16 09:45:58,rule_engine,0.4478,medium,auto_closed,0.0
80180,transaction,1523,2025-02-03 05:48:13,rule_engine,0.524,medium,pending,0.0
80181,transaction,1540,2025-01-09 17:04:13,anomaly_detector,0.2391,low,investigated,0.0
80182,transaction,1557,2025-01-16 03:54:41,anomaly_detector,0.448,medium,pending,0.0
80183,transaction,1581,2025-02-11 21:56:10,ml_model,0.132,low,pending,0.0
80184,transaction,1603,2025-01-08 15:50:34,rule_engine,0.6903,medium,investigated,66.96
80185,transaction,1610,2025-01-29 22:14:50,rule_engine,0.6344,medium,auto_closed,0.0
80186,transaction,1621,2025-03-02 07:46:14,anomaly_detector,0.8122,high,investigated,103.07
80187,transaction,1622,2025-03-14 19:26:03,rule_engine,0.3765,low,auto_closed,0.0
80188,transaction,1637,2025-02-27 09:37:20,rule_engine,0.6273,medium,investigated,133.08
80189,transaction,1648,2025-02-16 20:59:24,rule_engine,0.651,medium,pending,0.0
80190,transaction,1649,2025-02-24 18:16:08,rule_engine,0.6895,medium,pending,0.0
80191,transaction,1671,2025-03-04 20:19:52,ml_model,0.1325,low,pending,0.0
80192,transaction,1679,2025-02-11 22:45:17,rule_engine,0.4783,medium,investigated,0.0
80193,transaction,1684,2025-03-31 05:19:16,ml_model,0.8795,high,investigated,94.96
80194,transaction,1688,2025-02-14 17:47:01,anomaly_detector,0.4952,medium,investigated,0.0
80195,transaction,1698,2025-03-17 23:46:31,anomaly_detector,0.7097,high,auto_closed,103.54
80196,transaction,1708,2025-01-07 01:50:49,ml_model,0.2581,low,auto_closed,0.0
80197,transaction,1730,2025-01-11 17:56:28,rule_engine,0.5344,medium,investigated,0.0
80198,transaction,1747,2025-02-10 09:22:27,rule_engine,0.258,low,pending,0.0
80199,transaction,1765,2025-02-23 13:37:35,anomaly_detector,0.1106,low,auto_closed,0.0
80200,transaction,1773,2025-02-26 06:56:54,ml_model,0.4645,medium,pending,0.0
80201,transaction,1788,2025-02-13 21:12:15,rule_engine,0.7116,high,pending,0.0
80202,transaction,1812,2025-03-27 22:42:01,anomaly_detector,0.702,high,investigated,103.17
80203,transaction,1824,2025-01-29 09:39:39,anomaly_detector,0.5186,medium,pending,0.0
80204,transaction,1826,2025-02-02 05:30:42,anomaly_detector,0.1966,low,pending,0.0
80205,transaction,1832,2025-01-18 06:33:18,rule_engine,0.5254,medium,pending,0.0
80206,transaction,1849,2025-02-20 06:50:38,ml_model,0.4022,medium,investigated,54.7
80207,transaction,1858,2025-03-22 15:21:25,ml_model,0.9272,high,auto_closed,0.0
80208,transaction,1864,2025-02-21 14:06:22,ml_model,0.1605,low,auto_closed,0.0
80209,transaction,1872,2025-02-05 17:38:47,ml_model,0.3558,low,investigated,0.0
80210,transaction,1883,2025-03-09 05:33:06,rule_engine,0.209,low,auto_closed,0.0
80211,transaction,1886,2025-01-23 18:25:07,rule_engine,0.341,low,investigated,0.0
80212,transaction,1897,2025-02-06 16:15:38,rule_engine,0.4725,medium,pending,0.0
80213,transaction,1900,2025-03-16 22:26:13,rule_engine,0.8629,high,investigated,18.49
80214,transaction,1903,2025-01-19 16:03:48,rule_engine,0.1524,low,pending,0.0
80215,transaction,1926,2025-01-14 02:11:06,rule_engine,0.4135,medium,auto_closed,0.0
80216,transaction,1929,2025-01-26 13:16:11,rule_engine,0.3842,low,investigated,56.75
80217,transaction,1932,2025-02-12 01:11:55,anomaly_detector,0.4759,medium,auto_closed,0.0
80218,transaction,1933,2025-03-02 13:54:47,anomaly_detector,0.6513,medium,investigated,0.0
80219,transaction,1936,2025-01-11 22:16:39,ml_model,0.8355,high,investigated,245.26
80220,transaction,1940,2025-02-04 19:00:33,ml_model,0.7471,high,auto_closed,0.0
80221,transaction,1950,2025-01-27 02:17:26,ml_model,0.1231,low,auto_closed,0.0
80222,transaction,1952,2025-03-08 06:31:39,rule_engine,0.783,high,pending,0.0
80223,transaction,1976,2025-02-15 21:11:33,rule_engine,0.7102,high,auto_closed,0.0
80224,transaction,1985,2025-02-05 12:30:20,anomaly_detector,0.9273,high,investigated,15.03
80225,transaction,1995,2025-03-10 22:52:42,anomaly_detector,0.4433,medium,auto_closed,0.0
80226,transaction,1997,2025-01-28 02:28:36,anomaly_detector,0.4592,medium,pending,0.0
80227,transaction,2001,2025-02-15 08:55:18,ml_model,0.6754,medium,investigated,56.17
80228,transaction,2003,2025-03-31 18:15:14,ml_model,0.8065,high,auto_closed,30.79
80229,transaction,2009,2025-02-02 20:24:45,ml_model,0.5559,medium,investigated,0.0
80230,transaction,2014,2025-03-16 07:57:26,anomaly_detector,0.1259,low,pending,0.0
80231,transaction,2044,2025-02-08 21:48:26,ml_model,0.7811,high,investigated,61.91
80232,transaction,2051,2025-01-13 04:30:46,anomaly_detector,0.1471,low,pending,0.0
80233,transaction,2052,2025-01-24 09:58:50,ml_model,0.5946,medium,investigated,51.87
80234,transaction,2063,2025-03-26 16:05:17,anomaly_detector,0.4718,medium,auto_closed,0.0
80235,transaction,2066,2025-02-19 05:34:49,anomaly_detector,0.5729,medium,investigated,54.38
80236,transaction,2068,2025-03-09 17:18:53,rule_engine,0.6052,medium,auto_closed,0.0
80237,transaction,2077,2025-01-13 02:19:37,ml_model,0.5692,medium,investigated,93.39
80238,transaction,2152,2025-02-16 09:30:01,rule_engine,0.5254,medium,pending,33.21
80239,transaction,2169,2025-02-27 22:02:45,rule_engine,0.4886,medium,auto_closed,121.55
80240,transaction,2179,2025-02-03 07:38:35,rule_engine,0.7134,high,investigated,45.8
80241,transaction,2186,2025-02-17 01:50:25,anomaly_detector,1.0,high,auto_closed,70.45
80242,transaction,2188,2025-03-12 11:42:35,rule_engine,0.1511,low,auto_closed,0.0
80243,transaction,2191,2025-02-02 23:47:20,rule_engine,0.5121,medium,pending,0.0
80244,transaction,2196,2025-02-07 20:38:21,ml_model,0.5848,medium,investigated,92.33
80245,transaction,2199,2025-03-01 11:12:36,ml_model,0.3717,low,auto_closed,0.0
80246,transaction,2209,2025-03-30 21:02:22,rule_engine,0.6299,medium,investigated,33.61
80247,transaction,2218,2025-01-18 09:34:49,ml_model,0.3486,low,pending,0.0
80248,transaction,2229,2025-01-21 19:45:03,ml_model,0.5161,medium,investigated,173.25
80249,transaction,2235,2025-03-08 07:50:57,rule_engine,0.7606,high,investigated,43.26
80250,transaction,2242,2025-01-12 17:00:18,rule_engine,0.7439,high,auto_closed,0.0
80251,transaction,2247,2025-03-12 11:29:41,rule_engine,0.4105,medium,auto_closed,0.0
80252,transaction,2260,2025-02-15 22:31:14,rule_engine,0.2803,low,investigated,0.0
80253,transaction,2261,2025-02-20 00:40:38,ml_model,0.6384,medium,investigated,76.88
80254,transaction,2283,2025-02-10 08:00:53,ml_model,0.272,low,pending,0.0
80255,transaction,2294,2025-01-05 02:38:49,rule_engine,0.6567,medium,auto_closed,0.0
80256,transaction,2298,2025-02-06 19:31:34,rule_engine,0.3579,low,auto_closed,0.0
80257,transaction,2307,2025-01-20 16:25:11,rule_engine,0.7731,high,investigated,0.0
80258,transaction,2309,2025-02-06 16:18:11,rule_engine,0.9881,high,investigated,132.09
80259,transaction,2323,2025-01-20 00:25:36,rule_engine,0.7494,high,investigated,70.47
80260,transaction,2330,2025-02-08 02:49:26,ml_model,0.4782,medium,auto_closed,36.07
80261,transaction,2343,2025-03-18 05:29:35,anomaly_detector,0.7863,high,auto_closed,0.0
80262,transaction,2362,2025-01-03 06:32:12,anomaly_detector,0.6645,medium,auto_closed,44.5
80263,transaction,2367,2025-02-01 19:55:58,rule_engine,0.5879,medium,pending,0.0
80264,transaction,2369,2025-02-10 22:47:37,ml_model,0.8245,high,pending,0.0
80265,transaction,2371,2025-02-17 08:09:28,rule_engine,0.5151,medium,auto_closed,168.32
80266,transaction,2388,2025-02-18 10:52:19,ml_model,0.5235,medium,investigated,35.22
80267,transaction,2390,2025-03-14 03:43:18,anomaly_detector,0.271,low,pending,0.0
80268,transaction,2394,2025-03-30 22:15:23,ml_model,0.5413,medium,investigated,0.0
80269,transaction,2414,2025-03-14 20:28:16,rule_engine,0.2588,low,investigated,0.0
80270,transaction,2415,2025-03-24 23:13:38,anomaly_detector,1.0,high,investigated,122.37
80271,transaction,2425,2025-03-03 18:18:22,anomaly_detector,0.2726,low,auto_closed,0.0
80272,transaction,2431,2025-01-05 18:02:15,rule_engine,0.679,medium,investigated,148.07
80273,transaction,2448,2025-03-16 22:44:49,rule_engine,0.5705,medium,investigated,66.0
80274,transaction,2459,2025-03-18 02:42:55,ml_model,0.6078,medium,investigated,46.34
80275,transaction,2461,2025-01-24 18:41:18,ml_model,0.1795,low,auto_closed,0.0
80276,transaction,2462,2025-02-27 23:59:39,ml_model,0.4226,medium,investigated,29.3
80277,transaction,2483,2025-03-14 10:27:48,ml_model,0.7973,high,pending,0.0
80278,transaction,2501,2025-01-05 00:46:01,rule_engine,0.1128,low,pending,0.0
80279,transaction,2504,2025-01-19 17:00:45,anomaly_detector,0.408,medium,auto_closed,0.0
80280,transaction,2510,2025-03-07 21:55:16,anomaly_detector,0.805,high,pending,166.89
80281,transaction,2515,2025-02-21 17:19:05,rule_engine,0.2906,low,auto_closed,0.0
80282,transaction,2547,2025-03-11 20:59:49,anomaly_detector,0.2301,low,investigated,0.0
80283,transaction,2552,2025-01-03 07:44:37,rule_engine,0.5956,medium,pending,0.0
80284,transaction,2563,2025-03-10 00:44:37,rule_engine,0.2124,low,auto_closed,0.0
80285,transaction,2568,2025-02-01 05:51:16,rule_engine,0.1607,low,auto_closed,0.0
80286,transaction,2570,2025-03-11 07:15:18,anomaly_detector,0.369,low,pending,0.0
80287,transaction,2579,2025-03-19 17:10:33,ml_model,0.237,low,auto_closed,0.0
80288,transaction,2587,2025-02-04 14:42:13,ml_model,0.4034,medium,auto_closed,0.0
80289,transaction,2592,2025-01-01 04:56:38,ml_model,0.3028,low,pending,0.0
80290,transaction,2605,2025-01-23 22:52:38,ml_model,0.385,low,investigated,48.7
80291,transaction,2609,2025-02-22 01:58:35,ml_model,0.5709,medium,investigated,0.0
80292,transaction,2610,2025-02-25 06:35:07,rule_engine,0.1673,low,auto_closed,0.0
80293,transaction,2615,2025-01-07 04:49:08,rule_engine,0.629,medium,investigated,0.0
80294,transaction,2639,2025-03-15 02:26:38,ml_model,0.4584,medium,investigated,222.37
80295,transaction,2647,2025-02-27 16:20:57,ml_model,0.0988,low,pending,0.0
80296,transaction,2673,2025-01-11 20:21:50,rule_engine,0.5056,medium,pending,0.0
80297,transaction,2676,2025-02-13 23:38:12,ml_model,0.5487,medium,investigated,38.79
80298,transaction,2680,2025-03-13 20:56:48,rule_engine,0.1577,low,pending,0.0
80299,transaction,2705,2025-01-28 10:03:11,anomaly_detector,0.4024,medium,auto_closed,0.0
80300,transaction,2709,2025-03-02 05:19:15,rule_engine,0.3598,low,pending,0.0
80301,transaction,2719,2025-03-24 14:22:03,rule_engine,0.6074,medium,auto_closed,0.0
80302,transaction,2741,2025-01-19 19:42:45,ml_model,0.4464,medium,investigated,33.55
80303,transaction,2785,2025-02-10 06:41:10,rule_engine,0.483,medium,pending,0.0
80304,transaction,2787,2025-03-04 23:40:39,rule_engine,0.2042,low,auto_closed,0.0
80305,transaction,2792,2025-03-16 17:33:36,rule_engine,0.6594,medium,investigated,61.05
80306,transaction,2799,2025-03-13 18:00:45,ml_model,0.4778,medium,investigated,0.0
80307,transaction,2808,2025-03-01 22:42:00,rule_engine,0.3552,low,investigated,0.0
80308,transaction,2815,2025-02-01 06:08:16,anomaly_detector,0.351,low,auto_closed,0.0
80309,transaction,2817,2025-02-10 19:27:03,ml_model,0.1195,low,investigated,0.0
80310,transaction,2826,2025-02-14 01:11:50,rule_engine,0.1989,low,auto_closed,0.0
80311,transaction,2827,2025-02-14 17:04:36,anomaly_detector,0.9092,high,investigated,36.28
80312,transaction,2838,2025-02-09 18:19:18,ml_model,0.7573,high,investigated,48.49
80313,transaction,2842,2025-01-10 04:16:45,ml_model,0.4975,medium,investigated,54.76
